Rows: 12
Columns: 16
Key fields: period, response_category
Saved-file MD5: 6f43167258488adcf2368c7ef0d6bf8f
Rows missing a key field: 0
Repeated keys beyond the first row: 0
period | character | nonmissing | 12 | distinct | 2
exposure_years | numeric | nonmissing | 12 | distinct | 2 min/median/mean/max 1.516769/1.516769/2.551449/4
response_category | character | nonmissing | 12 | distinct | 7
parent_count | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 2/36.5/206.4167/1254
annualized_count | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 1.318592/17.31092/81.48278/461.5072
share_of_all_opportunities | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 0.002283105/0.03313711/0.1666667/0.7990868
parents_with_total_at_least_100 | numeric | nonmissing | 12 | distinct | 9 min/median/mean/max 0/5/36.25/290
mean_parent_total | numeric | nonmissing | 12 | distinct | 11 min/median/mean/max 27.92105/183.6296/229.6747/669.9444
median_parent_total | numeric | nonmissing | 12 | distinct | 11 min/median/mean/max 17/166.75/207.5417/622
mean_largest_constituent | numeric | nonmissing | 12 | distinct | 9 min/median/mean/max 17.66667/99/147.4554/364.1429
mean_lot_area_sqft | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 5511.723/24420.58/53163.33/281350.2
mean_residential_capacity_sqft | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 14914.79/67993.03/125125.9/544370.1
mean_redevelopment_slack_sqft | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 11010.18/52844.31/96264.78/371800
category_total_ge_100 | numeric | nonmissing | 12 | distinct | 9 min/median/mean/max 0/5/36.25/290
all_parents_total_ge_100 | numeric | nonmissing | 12 | distinct | 2 min/median/mean/max 124/124/201.9167/311
share_conditional_parent_total_ge_100 | numeric | nonmissing | 12 | distinct | 9 min/median/mean/max 0/0.03629032/0.1666667/0.9324759
