Rows: 8
Columns: 19
Key fields: range_label
Saved-file MD5: 415a7bafdf632d58163b09d7bb1a46e0
Rows missing a key field: 0
Repeated keys beyond the first row: 0
range_label | character | nonmissing | 8 | distinct | 8
exposure_years__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 4/4/4/4
exposure_years__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 1.516769/1.516769/1.516769/1.516769
opportunity_count__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 565/565/565/565
opportunity_count__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 334/334/334/334
annualized_opportunity_rate__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 141.25/141.25/141.25/141.25
annualized_opportunity_rate__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 220.2049/220.2049/220.2049/220.2049
range_count__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/21.5/29.75/102
range_count__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/11/15/41
annualized_range_count__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/5.375/7.4375/25.5
annualized_range_count__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/7.252256/9.88944/27.03114
range_share__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/0.0380531/0.05265487/0.180531
range_share__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/0.03293413/0.04491018/0.1227545
annualized_count_ratio_post_pre | numeric | nonmissing | 7 | distinct | 7 min/median/mean/max 0/0.8273519/2.813563/15.44636
market_scale_ratio_post_pre | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 1.558973/1.558973/1.558973/1.558973
shape_ratio_post_pre | numeric | nonmissing | 7 | distinct | 7 min/median/mean/max 0/0.5307033/1.804755/9.908041
ratio_identity_error | numeric | nonmissing | 7 | distinct | 2 min/median/mean/max -1.110223e-16/0/-1.586033e-17/0
annualized_count_difference_post_pre | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max -6.838448/-0.1128159/2.45194/25.28114
share_difference_post_pre | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max -0.08472259/-0.008385883/-0.007744688/0.1103651
