parent_id,decision,reference_bbls,reference_recorded_area_sqft,document_id,document_date,recorded_date,source_pages,source_url,reason,development_bbls,development_area_sqft,area_basis,reviewed_filing_bbls,reviewed_hdb_bbls,reviewed_retained_bbls,reference_vintage,reviewed_ancillary_jobs,reviewed_physical_transactions,reviewed_original_bbls,reviewed_component_jobs
post_policy__B01316595-I1,complete_reference_parcel_supported,3013060028,38118,2026030900544002,2026-03-02,2026-03-09,3;5,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026030900544002,Recorded diagram assigns the complete former lot 28 to tentative lots 20/25/28/30 and names all four constituent addresses. Schedule A confirms the same external boundary. Use the recorded 2023 reference area once for the parent.,3013060020;3013060025;3013060028;3013060030,38118,archival_recorded_area,,,,23v3_1,,,,B01316595;B01316678;B01317227;B01339675
post_policy__B01268544-I1,recorded_development_boundary_supported,3072740025,57000,2026080700950005,2026-08-07,2026-08-11,6,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026080700950005,"Declaration Exhibit A defines current lot 30 as a 200 by 100 foot rectangle inside old lot 25. Agreement 2026080700950002 pages 3-6 separates developer lot 30 from retained church lot 25 and conveys 64000 square feet of development rights, not additional ground. The 2024 deed 2024022700757001 page 4 defines the old lot 30 elsewhere as 3000 square feet. Use the documented 20000 square foot observed development boundary; archival source parcel is old lot 25.",3072740030,20000,recorded_legal_dimensions,,,,23v3_1,,,,B01268544
post_policy__B01206874-I1,recorded_development_boundary_supported,3023150033,12450,2026060300664002,2026-05-27,2026-06-17,4-7;48;51,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026060300664002,Parcel B is lot133 ground leased for the 99-unit building; Parcel A retains church lots1/33. Page48 supplies parallel sides91.07/50.06 and connecting sides102.57/110.47 feet; trapezoid closure gives7237.85 square feet. Page51 draws the building on133 and retained church on33. This explicitly crosswalks the earlier HDB lot33 to later DOB lot133. The current assessment has no area; mapped7056.20 is a cartographic comparison.,3023150133,7237.85,calculated_from_recorded_legal_dimensions,3023150133,3023150033,,23v3_1,,,,B01206874
post_policy__B01225983-I1,complete_reference_parcel_supported,3039580049,20653,2026061900410001,2026-06-16,2026-06-24,3-5;10-11,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026061900410001,June splitter agreement assigns Highland premises to lots48+148 and Shepherd to49. December zoning diagram2026010600961002 pages3-4 partitions the whole former49; its proposed48 includes later148. Retain full archival20653 for the observed198-unit pair. The additional21-unit filing on148 is September2026 and does not enter the July8 cohort cutoff.,3039580048;3039580049;3039580148,20653,archival_recorded_area,,,,23v3_1,,,,B01225983;B01241582
post_policy__B01297622-I1,recorded_development_boundary_supported,3082350342,77600,2026022500765005,2026-02-20,2026-03-05,4-7;9-10;35;37-38,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026022500765005,Agreement separates retained Parcel A lot342 from new-building Parcel B lots340/341 with198 dwelling rights. Exhibit B gives341 as130.5x200 and340 as90.5x200 feet:44200 total. Later339 lies within that Parcel B extent. The old HDB342 identifier is an ancestor; nonexclusive parking/access rights on retained342 do not convey its ground. The map polygon40974.27 is smaller than the legal boundary; use the recorded legal dimensions.,3082350339;3082350340;3082350341,44200,recorded_legal_dimensions,3082350340;3082350341,3082350342,,23v3_1,,,,B01297622;B01333932
post_policy__B01320823-I1,complete_reference_parcel_supported,3031830007;3031830071,12590,2026030200076003,2026-02-26,2026-03-02,3-6;25,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026030200076003,Developer Parcel is merged71 formerly7+71; retained19 and separate6/23 contribute development rights. Exhibit B describes the merged physical parcel. Sum archival areas2590+10000. The document does not adjudicate the older46-unit filing; preserve the independent filing-scope flag.,3031830071,12590,archival_recorded_area,,,,23v3_1,,,,B01320823
post_policy__B01327363-I1,complete_reference_parcel_supported,3024570034,9262,2025121500836001,2025-08-22,2026-01-08,2-8;15-16;20;24-26,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025121500836001,Agreement separately defines planned building Parcel A lot34 and existing WS Building Parcel B lot28. Ramp/access easements do not convey neighboring ground. Retain archival lot34 area9262. Older hotel-plan and current99-unit filing relationship remains separately flagged; no units or filing roles are changed.,3024570034,9262,archival_recorded_area,,,,23v3_1,,,,B01327363
post_policy__X01201390-I1,recorded_development_boundary_supported,2057000078,17670,2026071500691002,2026-07-09,2026-07-17,4;6-7;25;27,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026071500691002,One recorded agreement assigns the 99-unit and 65-unit buildings to lots 79 and 88 under common ownership. The legal descriptions and successor administrative areas support combined ground 12541+5900=18441. Both parcels descend from old 78; retained commercial building 78 and the earlier residential development on 99 are excluded. The two exact filings are implemented as one economic parent. HDB lot 99 on the Kimberly filing is crosswalked to the agreement lot 88 and DOB source 88; units and dates remain administrative.,2057000079;2057000088,18441,successor_recorded_area_checked_against_legal_dimensions,2057000079;2057000088,2057000079;2057000099,2057000078;2057000099,23v3_1,,,,X01201390;X01202536
post_policy__X01252745-I1,complete_reference_parcel_supported,2030680088;2030680089;2030680090,7287,2025112100418005,2025-11-10,2025-11-25,4;26-30,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025112100418005,Developer Parcel explicitly comprises only old88/89/90; lot81 retains its existing75-unit building and supplies excess development rights. January live zoning diagram2026020500129001 pages2/6 defines new88 as old88/89/90; old87 is excluded. Preserve original filing date and refiling metadata while assigning current replacement ground. Archival2431+2428+2428=7287; recorded survey7292.40 differs by5.40 square feet.,2030680088,7287,archival_recorded_area,,,,23v3_1,,,,X01273665
post_policy__Q01177691-I1,recorded_development_boundary_supported,4158210046;4158220044;4158220048,52817,2025071800009001;2026061000055018,2025-06-25;2026-06-04,2026-02-04;2026-06-15,"Easement PDF5-10,27,29; Declaration PDF3-4,9,11",https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025071800009001;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026061000055018,"Recorded partition assigns apartments to developer lots44/48 on block15822 and50 on15821; fifteen small-house filings occupy retained block15822 lots23-26,28-29,34-42 with separate30-unit capacity. Former46 splits into retained46 anddeveloper50. Developer ground excludes retained owner parcels and preserves independent dwelling rights.",4158210050;4158220044;4158220048,47365.13,Recorded lot-area chart10807+18778.60 and legal rectangle170.76x104.12; rounded legal dimensions,4158210050;4158220044;4158220048,4158210046;4158220044;4158220048,4158220023;4158220024;4158220025;4158220026;4158220028;4158220029;4158220034;4158220035;4158220036;4158220037;4158220038;4158220039;4158220040;4158220041;4158220042,23v3_1,,,,Q01177691;Q01177738;Q01222315
