Rows: 1311
Columns: 37
Key fields: parent_id, job_number
Saved-file MD5: 00263b8268dfa58aae1b985398cc4f4d
Rows missing a key field: 0
Repeated keys beyond the first row: 0
parent_id | character | nonmissing | 1311 | distinct | 905
job_number | character | nonmissing | 1311 | distinct | 1231
matched_bbls | character | nonmissing | 1311 | distinct | 1057
direct_lot_match | logical | nonmissing | 1311 | distinct | 2
point_in_earlier_land | logical | nonmissing | 1311 | distinct | 2
filing_parent_id | character | nonmissing | 1142 | distinct | 930
filing_date | Date | nonmissing | 1311 | distinct | 755
units | numeric | nonmissing | 1311 | distinct | 328 min/median/mean/max 0/88/132.8703/1313
status | character | nonmissing | 1311 | distinct | 11
address | character | nonmissing | 1311 | distinct | 1151
archived_member | logical | nonmissing | 1311 | distinct | 2
hdb_release | character | nonmissing | 1137 | distinct | 2
completed_date | Date | nonmissing | 171 | distinct | 136
permit_date | Date | nonmissing | 693 | distinct | 425
inactive | logical | nonmissing | 1311 | distinct | 2
observed_nonresidential | logical | nonmissing | 1311 | distinct | 2
school_description | logical | nonmissing | 1311 | distinct | 2
description | character | nonmissing | 972 | distinct | 835
reference_date | Date | nonmissing | 1311 | distinct | 18
cohort_date | Date | nonmissing | 1311 | distinct | 588
other_parent_overlap_sqft | numeric | nonmissing | 1070 | distinct | 900 min/median/mean/max 3.386741e-08/15154.38/30139.56/641256.4
own_parent | logical | nonmissing | 1311 | distinct | 2
after_reference | logical | nonmissing | 1311 | distinct | 2
earlier_construction | logical | nonmissing | 1311 | distinct | 2
mapped_other_parent_separate | logical | nonmissing | 1311 | distinct | 2
other_live_filing | logical | nonmissing | 1311 | distinct | 2
evidence | character | nonmissing | 1311 | distinct | 3
filing_review_applicable | logical | nonmissing | 2 | distinct | 1
filing_review_decision | character | nonmissing | 2 | distinct | 1
filing_review_source | character | nonmissing | 2 | distinct | 2
filing_review_basis | character | nonmissing | 2 | distinct | 2
documented_alternative_plan | logical | nonmissing | 1311 | distinct | 2
reviewed_retained_bbls | character | nonmissing | 72 | distinct | 25
reviewed_ancillary_jobs | character | nonmissing | 2 | distinct | 1
documented_separate_site | logical | nonmissing | 1311 | distinct | 2
documented_ancillary_filing | logical | nonmissing | 1311 | distinct | 2
site_scope_conflict | logical | nonmissing | 1311 | distinct | 2
