Rows: 2432
Columns: 11
Key fields: root_job_id
Saved-file MD5: 3150cd8bcce95ccfc686d168f14581c4
Rows missing a key field: 0
Repeated keys beyond the first row: 0
root_job_id | character | nonmissing | 2432 | distinct | 2432
address | character | nonmissing | 2432 | distinct | 2334
date_filed | Date | nonmissing | 2432 | distinct | 866
classa_prop | numeric | nonmissing | 2432 | distinct | 321 min/median/mean/max 6/20/60.24959/1313
historical_active | logical | nonmissing | 2432 | distinct | 2
job_status | character | nonmissing | 2432 | distinct | 5
parent_id | character | nonmissing | 2390 | distinct | 2179
cohort_year | numeric | nonmissing | 2390 | distinct | 5 min/median/mean/max 2018/2020/2020.42/2022
filing_role | character | nonmissing | 2390 | distinct | 3
additive_component | logical | nonmissing | 2390 | distinct | 2
disposition | character | nonmissing | 2432 | distinct | 4
