Rows: 486
Columns: 38
Key fields: sample, parent_id
Saved-file MD5: 3c9cc7404d4ef9eda1e5f0af01262171
Rows missing a key field: 0
Repeated keys beyond the first row: 0
sample | character | nonmissing | 486 | distinct | 2
parent_id | character | nonmissing | 486 | distinct | 486
cohort_date | Date | nonmissing | 486 | distinct | 391
cohort_year | numeric | nonmissing | 486 | distinct | 16 min/median/mean/max 2011/2022/2020.802/2026
parent_total_units | numeric | nonmissing | 486 | distinct | 211 min/median/mean/max 6/101/158.6996/1132
component_filings | numeric | nonmissing | 486 | distinct | 6 min/median/mean/max 1/1/1.174897/7
ag_queryable_components | numeric | nonmissing | 486 | distinct | 6 min/median/mean/max 1/1/1.174897/7
component_jobs | character | nonmissing | 486 | distinct | 486
addresses | character | nonmissing | 486 | distinct | 486
boroughs | character | nonmissing | 486 | distinct | 5
ownership_types | character | nonmissing | 486 | distinct | 24
owner_names | character | nonmissing | 482 | distinct | 271
exposure_status | character | nonmissing | 486 | distinct | 4
included_ab | logical | nonmissing | 486 | distinct | 2
included_ab_plus_d | logical | nonmissing | 486 | distinct | 2
confidence | character | nonmissing | 486 | distinct | 3
classification_reason | character | nonmissing | 486 | distinct | 11
evidence_source | character | nonmissing | 486 | distinct | 8
source_url | character | nonmissing | 42 | distinct | 15
review_date | Date | nonmissing | 486 | distinct | 1
government_owner | logical | nonmissing | 486 | distinct | 2
nycha_owner | logical | nonmissing | 486 | distinct | 2
hotel_project | logical | nonmissing | 486 | distinct | 1
ag_queries | numeric | nonmissing | 486 | distinct | 6 min/median/mean/max 1/1/1.17284/7
ag_all_queries_succeeded | logical | nonmissing | 486 | distinct | 1
ag_screen_complete | logical | nonmissing | 486 | distinct | 2
ag_returned_plans | numeric | nonmissing | 486 | distinct | 6 min/median/mean/max 0/0/0.1666667/6
ag_market_homeownership | logical | nonmissing | 486 | distinct | 2
ag_offering_plan | logical | nonmissing | 486 | distinct | 2
ag_accepted_offering_plan | logical | nonmissing | 486 | distinct | 2
ag_cps1_market_test | logical | nonmissing | 486 | distinct | 2
ag_financing_condominium | logical | nonmissing | 486 | distinct | 2
ag_market_plan_ids | character | nonmissing | 11 | distinct | 11
ag_financing_plan_ids | character | nonmissing | 31 | distinct | 31
hpd_registered_components | numeric | nonmissing | 486 | distinct | 2 min/median/mean/max 0/0/0.05761317/1
hpd_options | character | nonmissing | 28 | distinct | 2
manual_notes | logical | nonmissing | 0 | distinct | 0
review_priority | character | nonmissing | 486 | distinct | 5
