case,vintage,borough,block,lot,bbl,address,lotarea,bldgarea,unitsres,unitstotal,builtfar,residfar,commfar,facilfar,landuse,bldgclass,zonedist1
flatbush,18v2_1,3,174,18,3001740018,96 FLATBUSH AVENUE,12240,35580,0,1,2.91,10,15,15,05,O2,C6-9
flatbush,18v2_1,3,174,23,3001740023,100 FLATBUSH AVENUE,1198,2450,0,2,2.05,10,15,15,05,O2,C6-9
flatbush,18v2_1,3,174,24,3001740024,102 FLATBUSH AVENUE,3093,15640,0,1,5.06,10,15,15,06,L8,C6-9
flatbush,20v5,3,174,13,3001740013,FLATBUSH AVENUE,26981,0,0,0,0,10,15,15,11,V1,C6-9
flatbush,20v5,3,174,23,3001740023,FLATBUSH AVENUE,12603,0,0,0,0,10,15,15,11,V1,C6-9
amsterdam,21v1,1,1984,1,1019840001,1470 AMSTERDAM AVENUE,534775,1291359,1272,1272,2.41,3.44,0,6.5,03,D3,R7-2
amsterdam,21v1,1,1984,28,1019840028,1440 AMSTERDAM AVENUE,12490,0,0,0,0,3.44,0,6.5,11,V1,R7-2
amsterdam,22v1,1,1984,1,1019840001,AMSTERDAM AVENUE,522765,1291359,1272,1272,2.47,3.44,0,6.5,03,D3,R7-2
amsterdam,22v1,1,1984,10,1019840010,AMSTERDAM AVENUE,10000,0,0,0,0,3.44,0,6.5,10,G7,R7-2
amsterdam,22v1,1,1984,28,1019840028,1440 AMSTERDAM AVENUE,12490,0,0,0,0,3.44,0,6.5,11,V1,R7-2
amsterdam,22v1,1,1984,30,1019840030,AMSTERDAM AVENUE,2500,0,0,0,0,3.44,0,6.5,11,V1,R7-2
casa,19v2,2,3730,1,2037300001,1810 WATSON AVENUE,344900,335129,378,378,0.97,1.25,0,2,03,D3,R5
casa,21v3,2,3730,1,2037300001,THIERIOT AVENUE,332137,335129,378,378,1.01,1.25,0,2,03,D3,R5
casa,21v3,2,3730,39,2037300039,THIERIOT AVENUE,12613,0,0,0,0,1.25,0,2,11,V0,R5
dekalb,21v1,3,2085,1,3020850001,190 WILLOUGHBY STREET,355013,722990,0,2,2.04,2.43,0,4.8,08,W6,R6
dekalb,21v3,3,2085,1,3020850001,61 DEKALB AVENUE,278525,579404,0,2,2.08,2.43,0,4.8,08,W6,R6
dekalb,21v3,3,2085,100,3020850100,150 ASHLAND PLACE,76488,143586,0,1,1.88,2.43,0,4.8,07,G9,R6
dekalb,23v3_1,3,2085,1,3020850001,75 DEKLAB AVENUE,487664,579404,0,2,1.19,2.43,0,4.8,08,W6,R6
dekalb,23v3_1,3,2085,100,3020850100,150 ASHLAND PLACE,76488,143586,0,1,1.88,2.43,0,4.8,07,G9,R6
dekalb,23v3_1,3,2085,15,3020850015,91 DEKLAB AVENUE,28650,0,0,0,0,2.43,0,4.8,11,V1,R6
penn,21v1,1,751,1,1007510001,270 9 AVENUE,393100,1489943,1510,1521,3.79,6.02,0,6.5,03,D4,R8
penn,23v3_1,1,751,1,1007510001,345 8TH AVENUE,350782,1433917,1134,1146,4.09,6.02,0,6.5,03,D4,R8
penn,23v3_1,1,751,20,1007510020,341 8TH AVENUE,40261,56026,0,7,1.39,3.44,3.4,6.5,05,K2,C4-5
jerome,20v3,2,3190,1,2031900001,2500 JEROME AVENUE,46563,13000,0,1,0.28,6.02,0,6.5,08,M9,R8
jerome,21v3,2,3190,1,2031900001,2500 JEROME AVENUE,29681,7650,0,1,0.26,6.02,0,6.5,08,M9,R8
jerome,21v3,2,3190,10,2031900010,2520 JEROME AVENUE,17775,3650,0,1,0.21,6.02,0,6.5,08,W9,R8
