case,source,url,local_file,evidence_location
East 125,October 2021 NYC OER Remedial Action Work Plan hosted in NYSDEC C231160 archive,https://extapps.dec.ny.gov/data/DecDocs/C231160/Application.BCP.C231160.2021-11-09.RAWP%20.pdf,east125_oer_rawp_2021.pdf,physical PDF pp 1 6 24 91; title and 2021 lot crosswalk and DOB 121207504 site plan
East 125,July 2025 NYSDEC final Remedial Action Work Plan,https://extapps.dec.ny.gov/data/DecDocs/C231160/Work%20Plan.BCP.C231160.2025-07-29.Final%20Remedial%20Action%20Work%20Plan%20%28RAWP%29.pdf,east125_final_rawp_2025.pdf,physical PDF pp 14 96; lot27 42540 sf and October 2024 ALTA survey 42540.1 sf
Amsterdam,NYCHA closing announcement October 17 2022,https://nychanow.nyc/nycha-closes-on-transfer-of-manhattanville-development-rights-to-adjacent-site/,amsterdam_nycha_2022_transfer.html,lead paragraph; 12500 sf land and separate 280000 sf development rights to adjacent 1440 Amsterdam
Amsterdam,NYC DOF 2026-27 final assessment lot28,https://a836-pts-access.nyc.gov/care/datalets/datalet.aspx?LMparent=20&UseSearch=no&jur=65&mode=asmt_fin_2027&pin=1019840028&taxyr=2025,amsterdam_dof_2027.html,Land Information; 24990 sf and one 28-story building
Eighth Avenue,Penn South 2023 annual report,https://www.pennsouth.coop/uploads/8/2/7/5/82753010/ps-annual-reports-2023.pdf,eighth_avenue_penn_south_2023.pdf,physical PDF pp 5 14; corner all-commercial building replaced and ground lease for 335 Eighth parcel
Eighth Avenue,Penn South 2024 audited financial report,https://www.pennsouth.coop/uploads/8/2/7/5/82753010/ps-annual-reports-2024_1.pdf,eighth_avenue_penn_south_2024.pdf,physical PDF p 48; December 2022 ground lease at 335 Eighth
Eighth Avenue,NYC DOF 2026-27 final assessment lot20,https://a836-pts-access.nyc.gov/care/datalets/datalet.aspx?LMparent=20&UseSearch=no&jur=65&mode=asmt_fin_2027&pin=1007510020&taxyr=2025,eighth_avenue_dof_2027.html,Land Information; 40261 sf and seven-story building with 341 Eighth address variant
West 48,NYC HPD certified March 23 2022 EAS from DCP artifact service,https://zap-api-production.herokuapp.com/document/artifact/sites/nycdcppfs/dcp_artifacts/2019M0374%20-%20Certified%20EAS_21HPD031M%20-%201_A6CF3F6831ACEC11B3FE001DD804D73E/21HPD031M_Certified_EAS_03232022.pdf,west48_city_eas_2022.pdf,physical PDF pp 19 21 32 40; 21923-sf western development site distinct from 47027-sf whole project and east open space
West 48,NYC Council October 12 2022 project summary,https://legistar.council.nyc.gov/View.ashx?GUID=44B70351-B5A1-434B-9D21-4AB2500204B6&ID=11570042&M=F,west48_council_2022.pdf,physical PDF p 33; disposition housing lot29 versus easement lot35 and 157 plus one dwelling
West 48,NYC City Record 2023 disposition notice,https://a856-cityrecord.nyc.gov/RequestDetail/20230928006,west48_city_record_2023.html,notice text; housing disposition versus open-space negative easement
West 48,NYC DOF 2026-27 final assessment housing lot29,https://a836-pts-access.nyc.gov/care/datalets/datalet.aspx?LMparent=20&UseSearch=no&jur=65&mode=asmt_fin_2027&pin=1010770029&taxyr=2025,west48_housing_dof_2027.html,Land Information; 21924 sf 509 West 48 Street eight stories
West 48,NYC DOF 2026-27 final assessment retained DEP lot35,https://a836-pts-access.nyc.gov/care/datalets/datalet.aspx?LMparent=20&UseSearch=no&jur=65&mode=asmt_fin_2027&pin=1010770035&taxyr=2025,west48_retained_dof_2027.html,Land Information; 25104 sf DEP owner
West 48,NYC Water Board November 6 2023 published resolution,https://www.nyc.gov/assets/nycwaterboard/downloads/pdf/public_notices/wb-public-notice-11-6-23.pdf,,URL-only physical PDF pp 8-10; official survey split 47027 to 21923 lot29 and 25104 lot35; direct retrieval HTTP 403
Amsterdam,NYCHA June 21 2022 resident meeting slides,https://www.nyc.gov/assets/nycha/downloads/pdf/manh-062122-engspan.pdf,,URL-only PDF p 9; maps private 1440 site next to Manhattanville; direct retrieval HTTP 403
Amsterdam,NYC Planning Manhattan Community District 9 197-a Plan,https://www.nyc.gov/assets/planning/download/pdf/community/197a-plans/mn9_hamilton_manhattanville_197a.pdf,,URL-only historical table identifies private 1440 lot28 at 12490 sf; direct retrieval HTTP 403
Eighth Avenue,MAG Partners first-party project page,https://magpartners.com/projects/335-eighth-avenue/,,URL-only; seven-story project on Penn South former commercial corner; direct retrieval HTTP 403
