Rows: 108999
Columns: 53
Unique nonmissing key: w_geocode
Saved-file MD5: a8686730c83c6e1187138b72928174f5
w_geocode | character | nonmissing | 108999 | distinct | 108999
C000 | numeric | nonmissing | 108999 | distinct | 1925 min/median/mean/max 1/10/74.20575/36849
CA01 | numeric | nonmissing | 108999 | distinct | 888 min/median/mean/max 0/2/17.99572/7698
CA02 | numeric | nonmissing | 108999 | distinct | 1360 min/median/mean/max 0/5/38.85985/21120
CA03 | numeric | nonmissing | 108999 | distinct | 855 min/median/mean/max 0/3/17.35018/10193
CE01 | numeric | nonmissing | 108999 | distinct | 720 min/median/mean/max 0/2/15.68833/23433
CE02 | numeric | nonmissing | 108999 | distinct | 899 min/median/mean/max 0/4/22.20045/8685
CE03 | numeric | nonmissing | 108999 | distinct | 1386 min/median/mean/max 0/2/36.31698/29382
CNS01 | numeric | nonmissing | 108999 | distinct | 93 min/median/mean/max 0/0/0.2250571/300
CNS02 | numeric | nonmissing | 108999 | distinct | 57 min/median/mean/max 0/0/0.04205543/280
CNS03 | numeric | nonmissing | 108999 | distinct | 119 min/median/mean/max 0/0/0.3545537/6148
CNS04 | numeric | nonmissing | 108999 | distinct | 359 min/median/mean/max 0/0/3.583776/1598
CNS05 | numeric | nonmissing | 108999 | distinct | 497 min/median/mean/max 0/0/3.979459/3659
CNS06 | numeric | nonmissing | 108999 | distinct | 405 min/median/mean/max 0/0/2.984761/4997
CNS07 | numeric | nonmissing | 108999 | distinct | 608 min/median/mean/max 0/0/8.164598/5666
CNS08 | numeric | nonmissing | 108999 | distinct | 363 min/median/mean/max 0/0/2.424353/12509
CNS09 | numeric | nonmissing | 108999 | distinct | 398 min/median/mean/max 0/0/2.948357/26168
CNS10 | numeric | nonmissing | 108999 | distinct | 492 min/median/mean/max 0/0/4.719153/11105
CNS11 | numeric | nonmissing | 108999 | distinct | 267 min/median/mean/max 0/0/1.829503/1640
CNS12 | numeric | nonmissing | 108999 | distinct | 628 min/median/mean/max 0/0/6.21291/9135
CNS13 | numeric | nonmissing | 108999 | distinct | 319 min/median/mean/max 0/0/1.375646/3180
CNS14 | numeric | nonmissing | 108999 | distinct | 526 min/median/mean/max 0/0/4.709695/12078
CNS15 | numeric | nonmissing | 108999 | distinct | 414 min/median/mean/max 0/0/3.755236/28950
CNS16 | numeric | nonmissing | 108999 | distinct | 872 min/median/mean/max 0/0/14.88737/36355
CNS17 | numeric | nonmissing | 108999 | distinct | 287 min/median/mean/max 0/0/1.591556/5568
CNS18 | numeric | nonmissing | 108999 | distinct | 503 min/median/mean/max 0/0/6.990523/1859
CNS19 | numeric | nonmissing | 108999 | distinct | 327 min/median/mean/max 0/0/3.426573/1751
CNS20 | numeric | nonmissing | 108999 | distinct | 8 min/median/mean/max 0/0/0.0006238589/13
CR01 | numeric | nonmissing | 108999 | distinct | 1558 min/median/mean/max 0/7/52.62368/25202
CR02 | numeric | nonmissing | 108999 | distinct | 780 min/median/mean/max 0/0/11.98637/8427
CR03 | numeric | nonmissing | 108999 | distinct | 99 min/median/mean/max 0/0/0.4835549/267
CR04 | numeric | nonmissing | 108999 | distinct | 631 min/median/mean/max 0/0/7.594226/11164
CR05 | numeric | nonmissing | 108999 | distinct | 45 min/median/mean/max 0/0/0.1143588/67
CR07 | numeric | nonmissing | 108999 | distinct | 209 min/median/mean/max 0/0/1.403563/1026
CT01 | numeric | nonmissing | 108999 | distinct | 1765 min/median/mean/max 0/8/62.05565/31951
CT02 | numeric | nonmissing | 108999 | distinct | 753 min/median/mean/max 0/1/12.1501/5995
CD01 | numeric | nonmissing | 108999 | distinct | 548 min/median/mean/max 0/1/7.828026/3590
CD02 | numeric | nonmissing | 108999 | distinct | 711 min/median/mean/max 0/2/13.37283/5887
CD03 | numeric | nonmissing | 108999 | distinct | 820 min/median/mean/max 0/2/16.17302/8965
CD04 | numeric | nonmissing | 108999 | distinct | 962 min/median/mean/max 0/2/18.83615/13480
CS01 | numeric | nonmissing | 108999 | distinct | 1275 min/median/mean/max 0/5/36.75369/18689
CS02 | numeric | nonmissing | 108999 | distinct | 1352 min/median/mean/max 0/4/37.45207/26056
CFA01 | numeric | nonmissing | 108999 | distinct | 294 min/median/mean/max 0/0/2.367169/2608
CFA02 | numeric | nonmissing | 108999 | distinct | 354 min/median/mean/max 0/0/3.247287/11128
CFA03 | numeric | nonmissing | 108999 | distinct | 318 min/median/mean/max 0/0/2.844751/3089
CFA04 | numeric | nonmissing | 108999 | distinct | 479 min/median/mean/max 0/0/6.427995/9150
CFA05 | numeric | nonmissing | 108999 | distinct | 1756 min/median/mean/max 0/5/59.31855/36758
CFS01 | numeric | nonmissing | 108999 | distinct | 480 min/median/mean/max 0/5/14.21118/3131
CFS02 | numeric | nonmissing | 108999 | distinct | 380 min/median/mean/max 0/0/6.814796/1159
CFS03 | numeric | nonmissing | 108999 | distinct | 649 min/median/mean/max 0/0/10.713/8254
CFS04 | numeric | nonmissing | 108999 | distinct | 575 min/median/mean/max 0/0/4.572418/1537
CFS05 | numeric | nonmissing | 108999 | distinct | 1581 min/median/mean/max 0/0/37.89437/36694
createdate | numeric | nonmissing | 108999 | distinct | 1 min/median/mean/max 20230320/20230320/20230320/20230320
