Rows: 84421
Columns: 53
Unique nonmissing key: w_geocode
Saved-file MD5: 31d395274427db665f23b38116f98f37
w_geocode | character | nonmissing | 84421 | distinct | 84421
C000 | numeric | nonmissing | 84421 | distinct | 803 min/median/mean/max 1/5/23.99532/6100
CA01 | numeric | nonmissing | 84421 | distinct | 358 min/median/mean/max 0/1/6.630293/2076
CA02 | numeric | nonmissing | 84421 | distinct | 509 min/median/mean/max 0/3/11.46958/3263
CA03 | numeric | nonmissing | 84421 | distinct | 361 min/median/mean/max 0/1/5.895453/2550
CE01 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CE02 | numeric | nonmissing | 84421 | distinct | 803 min/median/mean/max 1/5/23.99532/6100
CE03 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CNS01 | numeric | nonmissing | 84421 | distinct | 55 min/median/mean/max 0/0/0.106111/150
CNS02 | numeric | nonmissing | 84421 | distinct | 16 min/median/mean/max 0/0/0.006526812/23
CNS03 | numeric | nonmissing | 84421 | distinct | 22 min/median/mean/max 0/0/0.01241397/150
CNS04 | numeric | nonmissing | 84421 | distinct | 97 min/median/mean/max 0/0/0.9730517/288
CNS05 | numeric | nonmissing | 84421 | distinct | 204 min/median/mean/max 0/0/1.182123/1016
CNS06 | numeric | nonmissing | 84421 | distinct | 134 min/median/mean/max 0/0/0.7069923/602
CNS07 | numeric | nonmissing | 84421 | distinct | 328 min/median/mean/max 0/0/3.789069/1872
CNS08 | numeric | nonmissing | 84421 | distinct | 205 min/median/mean/max 0/0/1.022719/4391
CNS09 | numeric | nonmissing | 84421 | distinct | 104 min/median/mean/max 0/0/0.3204771/1346
CNS10 | numeric | nonmissing | 84421 | distinct | 131 min/median/mean/max 0/0/0.5459779/576
CNS11 | numeric | nonmissing | 84421 | distinct | 87 min/median/mean/max 0/0/0.4964405/270
CNS12 | numeric | nonmissing | 84421 | distinct | 148 min/median/mean/max 0/0/1.016761/1996
CNS13 | numeric | nonmissing | 84421 | distinct | 117 min/median/mean/max 0/0/0.292143/856
CNS14 | numeric | nonmissing | 84421 | distinct | 289 min/median/mean/max 0/0/1.867308/3257
CNS15 | numeric | nonmissing | 84421 | distinct | 173 min/median/mean/max 0/0/0.8211819/2798
CNS16 | numeric | nonmissing | 84421 | distinct | 515 min/median/mean/max 0/0/6.626029/5689
CNS17 | numeric | nonmissing | 84421 | distinct | 83 min/median/mean/max 0/0/0.2818967/1153
CNS18 | numeric | nonmissing | 84421 | distinct | 185 min/median/mean/max 0/0/2.726596/768
CNS19 | numeric | nonmissing | 84421 | distinct | 112 min/median/mean/max 0/0/1.20149/466
CNS20 | numeric | nonmissing | 84421 | distinct | 2 min/median/mean/max 0/0/1.184539e-05/1
CR01 | numeric | nonmissing | 84421 | distinct | 589 min/median/mean/max 0/4/16.08724/3409
CR02 | numeric | nonmissing | 84421 | distinct | 372 min/median/mean/max 0/0/4.59657/2443
CR03 | numeric | nonmissing | 84421 | distinct | 54 min/median/mean/max 0/0/0.2150768/108
CR04 | numeric | nonmissing | 84421 | distinct | 250 min/median/mean/max 0/0/2.540861/4106
CR05 | numeric | nonmissing | 84421 | distinct | 23 min/median/mean/max 0/0/0.04659978/29
CR07 | numeric | nonmissing | 84421 | distinct | 81 min/median/mean/max 0/0/0.5089729/177
CT01 | numeric | nonmissing | 84421 | distinct | 685 min/median/mean/max 0/4/18.99566/5024
CT02 | numeric | nonmissing | 84421 | distinct | 361 min/median/mean/max 0/0/4.999656/2510
CD01 | numeric | nonmissing | 84421 | distinct | 272 min/median/mean/max 0/1/3.371756/1452
CD02 | numeric | nonmissing | 84421 | distinct | 286 min/median/mean/max 0/1/4.750868/1355
CD03 | numeric | nonmissing | 84421 | distinct | 305 min/median/mean/max 0/1/5.043721/1443
CD04 | numeric | nonmissing | 84421 | distinct | 290 min/median/mean/max 0/1/4.198683/1416
CS01 | numeric | nonmissing | 84421 | distinct | 453 min/median/mean/max 0/3/10.40522/2524
CS02 | numeric | nonmissing | 84421 | distinct | 597 min/median/mean/max 0/2/13.5901/5085
CFA01 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFA02 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFA03 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFA04 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFA05 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFS01 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFS02 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFS03 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFS04 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
CFS05 | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 0/0/0/0
createdate | numeric | nonmissing | 84421 | distinct | 1 min/median/mean/max 20231020/20231020/20231020/20231020
