Rows: 1484
Columns: 38
Unique nonmissing key: area_fips, own_code, industry_code, agglvl_code, size_code, year, qtr
Saved-file MD5: b1480e4fcb9e187fd84225f0993a5fbf
area_fips | numeric | nonmissing | 1484 | distinct | 1 min/median/mean/max 36085/36085/36085/36085
own_code | numeric | nonmissing | 1484 | distinct | 5 min/median/mean/max 0/5/4.635445/5
industry_code | character | nonmissing | 1484 | distinct | 1371
agglvl_code | numeric | nonmissing | 1484 | distinct | 9 min/median/mean/max 70/77/76.9252/78
size_code | numeric | nonmissing | 1484 | distinct | 1 min/median/mean/max 0/0/0/0
year | numeric | nonmissing | 1484 | distinct | 1 min/median/mean/max 2019/2019/2019/2019
qtr | character | nonmissing | 1484 | distinct | 1
disclosure_code | character | nonmissing | 646 | distinct | 1
annual_avg_estabs | numeric | nonmissing | 1484 | distinct | 167 min/median/mean/max 0/6/60.81402/10018
annual_avg_emplvl | numeric | nonmissing | 1484 | distinct | 363 min/median/mean/max 0/23/681.9164/128053
total_annual_wages | numeric | nonmissing | 1484 | distinct | 539 min/median/mean/max 0/872723.5/35581240/6920666000
taxable_annual_wages | numeric | nonmissing | 1484 | distinct | 505 min/median/mean/max 0/65267/6288013/1102707000
annual_contributions | numeric | nonmissing | 1484 | distinct | 506 min/median/mean/max 0/1020/139878.9/24298320
annual_avg_wkly_wage | numeric | nonmissing | 1484 | distinct | 461 min/median/mean/max 0/451/561.5916/3194
avg_annual_pay | numeric | nonmissing | 1484 | distinct | 538 min/median/mean/max 0/23433.5/29203.03/166067
lq_disclosure_code | character | nonmissing | 646 | distinct | 1
lq_annual_avg_estabs | numeric | nonmissing | 1484 | distinct | 303 min/median/mean/max 0/0.9/1.402864/23.33
lq_annual_avg_emplvl | numeric | nonmissing | 1484 | distinct | 245 min/median/mean/max 0/0.19/0.8090364/22.24
lq_total_annual_wages | numeric | nonmissing | 1484 | distinct | 263 min/median/mean/max 0/0.15/0.9462938/33.31
lq_taxable_annual_wages | numeric | nonmissing | 1484 | distinct | 265 min/median/mean/max 0/0.085/0.7804043/24.55
lq_annual_contributions | numeric | nonmissing | 1484 | distinct | 247 min/median/mean/max 0/0.05/0.7226617/19.34
lq_annual_avg_wkly_wage | numeric | nonmissing | 1484 | distinct | 147 min/median/mean/max 0/0.62/0.5755593/3.21
lq_avg_annual_pay | numeric | nonmissing | 1484 | distinct | 145 min/median/mean/max 0/0.62/0.5751011/3.2
oty_disclosure_code | character | nonmissing | 687 | distinct | 1
oty_annual_avg_estabs_chg | numeric | nonmissing | 1484 | distinct | 42 min/median/mean/max -27/0/1.161051/188
oty_annual_avg_estabs_pct_chg | numeric | nonmissing | 1484 | distinct | 195 min/median/mean/max -100/0/5.066509/466.7
oty_annual_avg_emplvl_chg | numeric | nonmissing | 1484 | distinct | 164 min/median/mean/max -243/0/21.79987/5286
oty_annual_avg_emplvl_pct_chg | numeric | nonmissing | 1484 | distinct | 296 min/median/mean/max -68.4/0/2.941509/536.4
oty_total_annual_wages_chg | numeric | nonmissing | 1484 | distinct | 513 min/median/mean/max -18551500/0/2029068/440709100
oty_total_annual_wages_pct_chg | numeric | nonmissing | 1484 | distinct | 335 min/median/mean/max -73.8/0/7.81442/2332.8
oty_taxable_annual_wages_chg | numeric | nonmissing | 1484 | distinct | 480 min/median/mean/max -4342313/0/377877.1/71810770
oty_taxable_annual_wages_pct_chg | numeric | nonmissing | 1484 | distinct | 322 min/median/mean/max -83.4/0/5.086725/692.6
oty_annual_contributions_chg | numeric | nonmissing | 1484 | distinct | 475 min/median/mean/max -1802142/0/-10485.38/208645
oty_annual_contributions_pct_chg | numeric | nonmissing | 1484 | distinct | 352 min/median/mean/max -84.2/0/0.1704852/1999
oty_annual_avg_wkly_wage_chg | numeric | nonmissing | 1484 | distinct | 253 min/median/mean/max -946/0/15.53774/2153
oty_annual_avg_wkly_wage_pct_chg | numeric | nonmissing | 1484 | distinct | 280 min/median/mean/max -70.3/0/3.398922/542.3
oty_avg_annual_pay_chg | numeric | nonmissing | 1484 | distinct | 501 min/median/mean/max -49220/0/808.3659/111969
oty_avg_annual_pay_pct_chg | numeric | nonmissing | 1484 | distinct | 278 min/median/mean/max -70.3/0/3.400202/542.8
