Rows: 1924
Columns: 38
Key fields: area_fips, own_code, industry_code, agglvl_code, size_code, year, qtr
Saved-file MD5: bf9c260cd38b05718694b9402929058b
Rows missing a key field: 0
Repeated keys beyond the first row: 0
area_fips | numeric | nonmissing | 1924 | distinct | 1 min/median/mean/max 36081/36081/36081/36081
own_code | numeric | nonmissing | 1924 | distinct | 5 min/median/mean/max 0/5/4.661642/5
industry_code | character | nonmissing | 1924 | distinct | 1761
agglvl_code | numeric | nonmissing | 1924 | distinct | 9 min/median/mean/max 70/77/77.0026/78
size_code | numeric | nonmissing | 1924 | distinct | 1 min/median/mean/max 0/0/0/0
year | numeric | nonmissing | 1924 | distinct | 1 min/median/mean/max 2021/2021/2021/2021
qtr | character | nonmissing | 1924 | distinct | 1
disclosure_code | character | nonmissing | 564 | distinct | 1
annual_avg_estabs | numeric | nonmissing | 1924 | distinct | 319 min/median/mean/max 1/17/252.9865/54067
annual_avg_emplvl | numeric | nonmissing | 1924 | distinct | 654 min/median/mean/max 0/133.5/2900.279/660987
total_annual_wages | numeric | nonmissing | 1924 | distinct | 863 min/median/mean/max 0/7584702/178805100/41719990000
taxable_annual_wages | numeric | nonmissing | 1924 | distinct | 806 min/median/mean/max 0/954160.5/32173550/7043737000
annual_contributions | numeric | nonmissing | 1924 | distinct | 804 min/median/mean/max 0/34665/1183190/258215900
annual_avg_wkly_wage | numeric | nonmissing | 1924 | distinct | 694 min/median/mean/max 0/881/879.4028/6767
avg_annual_pay | numeric | nonmissing | 1924 | distinct | 856 min/median/mean/max 0/45817.5/45728.7/351862
lq_disclosure_code | character | nonmissing | 564 | distinct | 1
lq_annual_avg_estabs | numeric | nonmissing | 1924 | distinct | 299 min/median/mean/max 0.01/0.63/1.024054/14.6
lq_annual_avg_emplvl | numeric | nonmissing | 1924 | distinct | 278 min/median/mean/max 0/0.37/0.9177287/32.34
lq_total_annual_wages | numeric | nonmissing | 1924 | distinct | 309 min/median/mean/max 0/0.35/1.077827/55.1
lq_taxable_annual_wages | numeric | nonmissing | 1924 | distinct | 267 min/median/mean/max 0/0.27/0.6995218/18.69
lq_annual_contributions | numeric | nonmissing | 1924 | distinct | 269 min/median/mean/max 0/0.25/0.6747141/16.84
lq_annual_avg_wkly_wage | numeric | nonmissing | 1924 | distinct | 168 min/median/mean/max 0/0.85/0.7454054/3.8
lq_avg_annual_pay | numeric | nonmissing | 1924 | distinct | 168 min/median/mean/max 0/0.85/0.7455873/3.8
oty_disclosure_code | character | nonmissing | 622 | distinct | 1
oty_annual_avg_estabs_chg | numeric | nonmissing | 1924 | distinct | 84 min/median/mean/max -439/0/-0.3279626/779
oty_annual_avg_estabs_pct_chg | numeric | nonmissing | 1924 | distinct | 231 min/median/mean/max -60/0/0.3171518/100
oty_annual_avg_emplvl_chg | numeric | nonmissing | 1924 | distinct | 339 min/median/mean/max -1538/0/112.9823/26439
oty_annual_avg_emplvl_pct_chg | numeric | nonmissing | 1924 | distinct | 400 min/median/mean/max -87.6/0/3.927495/209.1
oty_total_annual_wages_chg | numeric | nonmissing | 1924 | distinct | 829 min/median/mean/max -41513730/0/11879850/2700056000
oty_total_annual_wages_pct_chg | numeric | nonmissing | 1924 | distinct | 449 min/median/mean/max -84.2/0/7.992931/321.7
oty_taxable_annual_wages_chg | numeric | nonmissing | 1924 | distinct | 772 min/median/mean/max -19458440/0/1511638/321947300
oty_taxable_annual_wages_pct_chg | numeric | nonmissing | 1924 | distinct | 423 min/median/mean/max -88.1/0/2.440073/277.2
oty_annual_contributions_chg | numeric | nonmissing | 1924 | distinct | 772 min/median/mean/max -161305/10601/485665.3/106236200
oty_annual_contributions_pct_chg | numeric | nonmissing | 1924 | distinct | 582 min/median/mean/max -86.8/36.25/47.50894/893.2
oty_annual_avg_wkly_wage_chg | numeric | nonmissing | 1924 | distinct | 358 min/median/mean/max -3881/0/34.11383/2312
oty_annual_avg_wkly_wage_pct_chg | numeric | nonmissing | 1924 | distinct | 341 min/median/mean/max -64.9/0/3.675156/169
oty_avg_annual_pay_chg | numeric | nonmissing | 1924 | distinct | 809 min/median/mean/max -201840/0/1774.534/120228
oty_avg_annual_pay_pct_chg | numeric | nonmissing | 1924 | distinct | 331 min/median/mean/max -64.9/0/3.677911/169.2
