Rows: 1503
Columns: 38
Key fields: area_fips, own_code, industry_code, agglvl_code, size_code, year, qtr
Saved-file MD5: 45b26e61947b6107b15eef2fef3e290a
Rows missing a key field: 0
Repeated keys beyond the first row: 0
area_fips | numeric | nonmissing | 1503 | distinct | 1 min/median/mean/max 36085/36085/36085/36085
own_code | numeric | nonmissing | 1503 | distinct | 5 min/median/mean/max 0/5/4.634731/5
industry_code | character | nonmissing | 1503 | distinct | 1382
agglvl_code | numeric | nonmissing | 1503 | distinct | 9 min/median/mean/max 70/77/76.93147/78
size_code | numeric | nonmissing | 1503 | distinct | 1 min/median/mean/max 0/0/0/0
year | numeric | nonmissing | 1503 | distinct | 1 min/median/mean/max 2021/2021/2021/2021
qtr | character | nonmissing | 1503 | distinct | 1
disclosure_code | character | nonmissing | 688 | distinct | 1
annual_avg_estabs | numeric | nonmissing | 1503 | distinct | 157 min/median/mean/max 0/6/60.48303/10091
annual_avg_emplvl | numeric | nonmissing | 1503 | distinct | 352 min/median/mean/max 0/12/647.1497/125938
total_annual_wages | numeric | nonmissing | 1503 | distinct | 528 min/median/mean/max 0/561151/37868960/7619191000
taxable_annual_wages | numeric | nonmissing | 1503 | distinct | 494 min/median/mean/max 0/0/6459709/1182510000
annual_contributions | numeric | nonmissing | 1503 | distinct | 493 min/median/mean/max 0/0/242222.8/44165460
annual_avg_wkly_wage | numeric | nonmissing | 1503 | distinct | 456 min/median/mean/max 0/454/626.7186/3861
avg_annual_pay | numeric | nonmissing | 1503 | distinct | 528 min/median/mean/max 0/23608/32589.38/200766
lq_disclosure_code | character | nonmissing | 688 | distinct | 1
lq_annual_avg_estabs | numeric | nonmissing | 1503 | distinct | 319 min/median/mean/max 0/0.91/1.427638/24.39
lq_annual_avg_emplvl | numeric | nonmissing | 1503 | distinct | 239 min/median/mean/max 0/0.14/0.7409514/22.11
lq_total_annual_wages | numeric | nonmissing | 1503 | distinct | 251 min/median/mean/max 0/0.11/0.8753027/35.41
lq_taxable_annual_wages | numeric | nonmissing | 1503 | distinct | 242 min/median/mean/max 0/0/0.6884963/23.93
lq_annual_contributions | numeric | nonmissing | 1503 | distinct | 246 min/median/mean/max 0/0/0.6381504/16.79
lq_annual_avg_wkly_wage | numeric | nonmissing | 1503 | distinct | 152 min/median/mean/max 0/0.57/0.5680106/3.17
lq_avg_annual_pay | numeric | nonmissing | 1503 | distinct | 153 min/median/mean/max 0/0.57/0.5678244/3.17
oty_disclosure_code | character | nonmissing | 738 | distinct | 1
oty_annual_avg_estabs_chg | numeric | nonmissing | 1503 | distinct | 42 min/median/mean/max -77/0/-0.1397206/167
oty_annual_avg_estabs_pct_chg | numeric | nonmissing | 1503 | distinct | 183 min/median/mean/max -100/0/2.109448/200
oty_annual_avg_emplvl_chg | numeric | nonmissing | 1503 | distinct | 189 min/median/mean/max -617/0/31.25682/7146
oty_annual_avg_emplvl_pct_chg | numeric | nonmissing | 1503 | distinct | 314 min/median/mean/max -87.6/0/3.760945/200
oty_total_annual_wages_chg | numeric | nonmissing | 1503 | distinct | 492 min/median/mean/max -14143370/0/2810823/591623400
oty_total_annual_wages_pct_chg | numeric | nonmissing | 1503 | distinct | 358 min/median/mean/max -89.9/0/6.78849/167.9
oty_taxable_annual_wages_chg | numeric | nonmissing | 1503 | distinct | 458 min/median/mean/max -2787472/0/444810.4/92271860
oty_taxable_annual_wages_pct_chg | numeric | nonmissing | 1503 | distinct | 315 min/median/mean/max -88.5/0/3.035662/148.9
oty_annual_contributions_chg | numeric | nonmissing | 1503 | distinct | 458 min/median/mean/max -60980/0/99337.87/18273620
oty_annual_contributions_pct_chg | numeric | nonmissing | 1503 | distinct | 405 min/median/mean/max -85.7/0/37.43526/431.6
oty_annual_avg_wkly_wage_chg | numeric | nonmissing | 1503 | distinct | 280 min/median/mean/max -1728/0/32.77977/1700
oty_annual_avg_wkly_wage_pct_chg | numeric | nonmissing | 1503 | distinct | 287 min/median/mean/max -58.5/0/2.934331/88.1
oty_avg_annual_pay_chg | numeric | nonmissing | 1503 | distinct | 483 min/median/mean/max -89877/0/1704.881/88414
oty_avg_annual_pay_pct_chg | numeric | nonmissing | 1503 | distinct | 274 min/median/mean/max -58.5/0/2.934864/88.1
