Rows: 1598
Columns: 38
Key fields: area_fips, own_code, industry_code, agglvl_code, size_code, year, qtr
Saved-file MD5: e98afbd9d6cdc4120a3f3d33ecafddb3
Rows missing a key field: 0
Repeated keys beyond the first row: 0
area_fips | numeric | nonmissing | 1598 | distinct | 1 min/median/mean/max 36005/36005/36005/36005
own_code | numeric | nonmissing | 1598 | distinct | 5 min/median/mean/max 0/5/4.608886/5
industry_code | character | nonmissing | 1598 | distinct | 1449
agglvl_code | numeric | nonmissing | 1598 | distinct | 9 min/median/mean/max 70/77/76.93492/78
size_code | numeric | nonmissing | 1598 | distinct | 1 min/median/mean/max 0/0/0/0
year | numeric | nonmissing | 1598 | distinct | 1 min/median/mean/max 2022/2022/2022/2022
qtr | character | nonmissing | 1598 | distinct | 1
disclosure_code | character | nonmissing | 685 | distinct | 1
annual_avg_estabs | numeric | nonmissing | 1598 | distinct | 200 min/median/mean/max 0/7/113.7196/20178
annual_avg_emplvl | numeric | nonmissing | 1598 | distinct | 432 min/median/mean/max 0/24/1685.879/314266
total_annual_wages | numeric | nonmissing | 1598 | distinct | 574 min/median/mean/max 0/1410042/109903400/20782660000
taxable_annual_wages | numeric | nonmissing | 1598 | distinct | 524 min/median/mean/max 0/0/14193740/2619549000
annual_contributions | numeric | nonmissing | 1598 | distinct | 524 min/median/mean/max 0/0/406384.6/75261210
annual_avg_wkly_wage | numeric | nonmissing | 1598 | distinct | 497 min/median/mean/max 0/626.5/717.7816/7981
avg_annual_pay | numeric | nonmissing | 1598 | distinct | 574 min/median/mean/max 0/32580/37324.31/415002
lq_disclosure_code | character | nonmissing | 685 | distinct | 1
lq_annual_avg_estabs | numeric | nonmissing | 1598 | distinct | 288 min/median/mean/max 0/0.61/1.215457/34.53
lq_annual_avg_emplvl | numeric | nonmissing | 1598 | distinct | 242 min/median/mean/max 0/0.11/0.832184/24.35
lq_total_annual_wages | numeric | nonmissing | 1598 | distinct | 252 min/median/mean/max 0/0.09/0.9737547/26.78
lq_taxable_annual_wages | numeric | nonmissing | 1598 | distinct | 247 min/median/mean/max 0/0/0.7882165/27.28
lq_annual_contributions | numeric | nonmissing | 1598 | distinct | 253 min/median/mean/max 0/0/0.7996433/28.03
lq_annual_avg_wkly_wage | numeric | nonmissing | 1598 | distinct | 154 min/median/mean/max 0/0.65/0.5921464/3.8
lq_avg_annual_pay | numeric | nonmissing | 1598 | distinct | 155 min/median/mean/max 0/0.65/0.5922403/3.8
oty_disclosure_code | character | nonmissing | 866 | distinct | 1
oty_annual_avg_estabs_chg | numeric | nonmissing | 1598 | distinct | 86 min/median/mean/max -23/0/10.25782/789
oty_annual_avg_estabs_pct_chg | numeric | nonmissing | 1598 | distinct | 204 min/median/mean/max -100/0/15.3831/200
oty_annual_avg_emplvl_chg | numeric | nonmissing | 1598 | distinct | 215 min/median/mean/max -742/0/46.0801/8699
oty_annual_avg_emplvl_pct_chg | numeric | nonmissing | 1598 | distinct | 290 min/median/mean/max -80/0/4.439362/300
oty_total_annual_wages_chg | numeric | nonmissing | 1598 | distinct | 469 min/median/mean/max -34575440/0/5292638/1035731000
oty_total_annual_wages_pct_chg | numeric | nonmissing | 1598 | distinct | 312 min/median/mean/max -67.9/0/5.640238/265.3
oty_taxable_annual_wages_chg | numeric | nonmissing | 1598 | distinct | 422 min/median/mean/max -7104110/0/862815.4/158659900
oty_taxable_annual_wages_pct_chg | numeric | nonmissing | 1598 | distinct | 289 min/median/mean/max -63.8/0/4.445807/141.3
oty_annual_contributions_chg | numeric | nonmissing | 1598 | distinct | 422 min/median/mean/max -14217360/0/-71402.85/192633
oty_annual_contributions_pct_chg | numeric | nonmissing | 1598 | distinct | 291 min/median/mean/max -66.3/0/-4.071715/118.3
oty_annual_avg_wkly_wage_chg | numeric | nonmissing | 1598 | distinct | 250 min/median/mean/max -2681/0/15.54881/1495
oty_annual_avg_wkly_wage_pct_chg | numeric | nonmissing | 1598 | distinct | 231 min/median/mean/max -58.4/0/1.442303/90.5
oty_avg_annual_pay_chg | numeric | nonmissing | 1598 | distinct | 465 min/median/mean/max -139395/0/808.6458/77734
oty_avg_annual_pay_pct_chg | numeric | nonmissing | 1598 | distinct | 227 min/median/mean/max -58.4/0/1.442491/90.5
