Rows: 2013
Columns: 38
Key fields: area_fips, own_code, industry_code, agglvl_code, size_code, year, qtr
Saved-file MD5: 62f5ddc3696d83395718f2a099c243c9
Rows missing a key field: 0
Repeated keys beyond the first row: 0
area_fips | numeric | nonmissing | 2013 | distinct | 1 min/median/mean/max 36047/36047/36047/36047
own_code | numeric | nonmissing | 2013 | distinct | 5 min/median/mean/max 0/5/4.548435/5
industry_code | character | nonmissing | 2013 | distinct | 1780
agglvl_code | numeric | nonmissing | 2013 | distinct | 9 min/median/mean/max 70/77/77.00795/78
size_code | numeric | nonmissing | 2013 | distinct | 1 min/median/mean/max 0/0/0/0
year | numeric | nonmissing | 2013 | distinct | 1 min/median/mean/max 2023/2023/2023/2023
qtr | character | nonmissing | 2013 | distinct | 1
disclosure_code | character | nonmissing | 567 | distinct | 1
annual_avg_estabs | numeric | nonmissing | 2013 | distinct | 348 min/median/mean/max 0/17/327.772/73295
annual_avg_emplvl | numeric | nonmissing | 2013 | distinct | 684 min/median/mean/max 0/137/3831.653/871174
total_annual_wages | numeric | nonmissing | 2013 | distinct | 911 min/median/mean/max 0/9716886/225620900/51668750000
taxable_annual_wages | numeric | nonmissing | 2013 | distinct | 830 min/median/mean/max 0/1149290/43024390/9701453000
annual_contributions | numeric | nonmissing | 2013 | distinct | 830 min/median/mean/max 0/34685/1271839/286615900
annual_avg_wkly_wage | numeric | nonmissing | 2013 | distinct | 717 min/median/mean/max 0/946/1009.961/11213
avg_annual_pay | numeric | nonmissing | 2013 | distinct | 908 min/median/mean/max 0/49191/52518.16/583091
lq_disclosure_code | character | nonmissing | 567 | distinct | 1
lq_annual_avg_estabs | numeric | nonmissing | 2013 | distinct | 307 min/median/mean/max 0/0.63/0.9997119/40.47
lq_annual_avg_emplvl | numeric | nonmissing | 2013 | distinct | 268 min/median/mean/max 0/0.33/0.8102534/69.25
lq_total_annual_wages | numeric | nonmissing | 2013 | distinct | 308 min/median/mean/max 0/0.38/0.9614108/46.28
lq_taxable_annual_wages | numeric | nonmissing | 2013 | distinct | 264 min/median/mean/max 0/0.23/0.6709985/19.04
lq_annual_contributions | numeric | nonmissing | 2013 | distinct | 257 min/median/mean/max 0/0.22/0.6258172/17.04
lq_annual_avg_wkly_wage | numeric | nonmissing | 2013 | distinct | 177 min/median/mean/max 0/0.98/0.8620864/5.4
lq_avg_annual_pay | numeric | nonmissing | 2013 | distinct | 177 min/median/mean/max 0/0.98/0.8621759/5.4
oty_disclosure_code | character | nonmissing | 630 | distinct | 1
oty_annual_avg_estabs_chg | numeric | nonmissing | 2013 | distinct | 126 min/median/mean/max -1386/1/8.03229/1796
oty_annual_avg_estabs_pct_chg | numeric | nonmissing | 2013 | distinct | 311 min/median/mean/max -100/0.9/10.80219/266.7
oty_annual_avg_emplvl_chg | numeric | nonmissing | 2013 | distinct | 364 min/median/mean/max -834/0/195.1441/43982
oty_annual_avg_emplvl_pct_chg | numeric | nonmissing | 2013 | distinct | 413 min/median/mean/max -60.9/0/3.631595/171.4
oty_total_annual_wages_chg | numeric | nonmissing | 2013 | distinct | 872 min/median/mean/max -69125230/0/18499860/4224681000
oty_total_annual_wages_pct_chg | numeric | nonmissing | 2013 | distinct | 465 min/median/mean/max -65.1/0/7.177049/547
oty_taxable_annual_wages_chg | numeric | nonmissing | 2013 | distinct | 793 min/median/mean/max -17501890/0/3190330/709833800
oty_taxable_annual_wages_pct_chg | numeric | nonmissing | 2013 | distinct | 433 min/median/mean/max -82.9/0/4.177794/298.3
oty_annual_contributions_chg | numeric | nonmissing | 2013 | distinct | 790 min/median/mean/max -945820/0/156831.4/35087170
oty_annual_contributions_pct_chg | numeric | nonmissing | 2013 | distinct | 495 min/median/mean/max -87.3/0/6.637407/501.1
oty_annual_avg_wkly_wage_chg | numeric | nonmissing | 2013 | distinct | 351 min/median/mean/max -3646/2/44.18927/7053
oty_annual_avg_wkly_wage_pct_chg | numeric | nonmissing | 2013 | distinct | 321 min/median/mean/max -46/0.3/3.38927/187.7
oty_avg_annual_pay_chg | numeric | nonmissing | 2013 | distinct | 842 min/median/mean/max -189611/122/2298.279/366751
oty_avg_annual_pay_pct_chg | numeric | nonmissing | 2013 | distinct | 320 min/median/mean/max -46/0.3/3.390313/187.6
