case,source,uri,access,evidence_location
Woodside,NYSDEC executed Brownfield Cleanup Agreement,https://extapps.dec.ny.gov/data/DecDocs/C241235/Agreement.BCP.C241235.2019-10-11.Executed%20BCA.pdf,archived woodside_bcp_agreement_2019.pdf,physical PDF pp 1 3 7; addresses owner old lots and proposed two-lot merger; p 7 mapped boundary visually checked
Woodside,NYSDEC Remedial Action Work Plan,https://extapps.dec.ny.gov/data/DecDocs/C241235/Work%20Plan.BCP.C241235.2020-06-15.Remedial%20Action%20Work%20Plan.%20Final.pdf,archived woodside_rawp_2020.pdf,executive summary; two buildings and 71862-sf site
Woodside,NYSDEC Site Management Plan,https://extapps.dec.ny.gov/data/DecDocs/C241235/Work%20Plan.BCP.C241235.2021-11-30.Site%20Management%20Plan%20%28SMP%29%20-%20Final.pdf,archived woodside_smp_2021.pdf,physical PDF p 14; lots 8 and 9 71862 sf and two-building use
Woodside,New York State court opinion,https://www.nycourts.gov/reporter/pdfs/2026/2026_31891.pdf,web PDF original text not archived,physical PDF p 3; one construction project West and East buildings
Vernon/31st,NYC City Record OER notice,https://a856-cityrecord.nyc.gov/RequestDetail/20210520005,web original HTML,paragraphs naming 21CVCP037Q and 21CVCP042Q
South Street,NYC OER fact sheet,https://www1.nyc.gov/assets/manhattancb3/downloads/calendar/2022/OER-265-South-Street-Factsheet.pdf,archived south_street_oer_fact_sheet_2021.pdf,physical PDF p 1; 41479 sf and 67/73-story towers over one podium; page visually checked
South Street,NYC OER September 2021 Remedial Investigation Report,https://a002-epic.nyc.gov/api/files/288af1c9-0f59-ec11-81ba-005056b05749/download,archived south_street_rir_2021.pdf,physical PDF p 8; DOB job site lot2 31341 sf and filed DOF enlargement to 41479 sf by reducing lot1; one reversed lot parenthetical is an internal typo
South Street,NYC OER December 2021 Remedial Action Work Plan,https://a002-epic.nyc.gov/api/files/fe116c51-ed94-ec11-81c3-005056b05749/download,archived south_street_final_rawp.pdf,physical PDF pp 1 8 19 58; cover names DOB M00558120-I1; DOF approved +10138 sf to lot2; Figure 2 plots site boundary and separate lot1
SOLA,Developer project page,https://sbdg1oak.com/portfolio/sola/,web first-party HTML,project details for 364-unit single project
SOLA,NYC DOF 2025-26 tentative assessment,https://a836-pts-access.nyc.gov/care/datalets/datalet.aspx?LMparent=20&UseSearch=no&jur=65&mode=asmt_tent_2026&pin=4013520125&taxyr=2027,web original HTML,lot125 58036 sf one 12-story building
