Rows: 2733
Columns: 71
Key fields: sample, parent_id
Saved-file MD5: 65b7fb6f763e574b888237715eda54cf
Rows missing a key field: 0
Repeated keys beyond the first row: 0
sample | character | nonmissing | 2733 | distinct | 2
period | character | nonmissing | 2733 | distinct | 2
exposure_years | numeric | nonmissing | 2733 | distinct | 2 min/median/mean/max 1.516769/4/3.168622/4
parent_id | character | nonmissing | 2733 | distinct | 2733
cohort_date | Date | nonmissing | 2733 | distinct | 1156
refiled | logical | nonmissing | 2733 | distinct | 2
refiling_date | Date | nonmissing | 9 | distinct | 8
cohort_year | integer | nonmissing | 2733 | distinct | 6 min/median/mean/max 2019/2022/2022.113/2026
parent_last_filing_date | Date | nonmissing | 2733 | distinct | 1156
source_end_date | Date | nonmissing | 2733 | distinct | 2
observed_followup_days | integer | nonmissing | 2733 | distinct | 1115 min/median/mean/max 0/703/826.0703/1821
left_window_observed | logical | nonmissing | 2733 | distinct | 1
right_window_observed | logical | nonmissing | 2733 | distinct | 2
full_window_observed | logical | nonmissing | 2733 | distinct | 2
parent_total_units | integer | nonmissing | 2733 | distinct | 344 min/median/mean/max 6/27/70.38529/1754
constituent_total_units | integer | nonmissing | 2733 | distinct | 344 min/median/mean/max 6/27/70.38529/1754
n_components | integer | nonmissing | 2733 | distinct | 7 min/median/mean/max 1/1/1.066959/7
max_component_units | integer | nonmissing | 2733 | distinct | 320 min/median/mean/max 6/27/64.57483/1313
second_component_units | integer | nonmissing | 136 | distinct | 68 min/median/mean/max 6/66.5/86.17647/583
third_component_units | integer | nonmissing | 31 | distinct | 23 min/median/mean/max 6/92/99.32258/484
min_component_units | integer | nonmissing | 2733 | distinct | 310 min/median/mean/max 6/27/62.34175/1313
n_components_eq_99 | integer | nonmissing | 2733 | distinct | 7 min/median/mean/max 0/0/0.03658983/7
n_components_ge_100 | integer | nonmissing | 2733 | distinct | 4 min/median/mean/max 0/0/0.1679473/3
all_components_le_99 | logical | nonmissing | 2733 | distinct | 2
any_component_ge_100 | logical | nonmissing | 2733 | distinct | 2
single_component | logical | nonmissing | 2733 | distinct | 2
multi_component | logical | nonmissing | 2733 | distinct | 2
exact_99x2 | logical | nonmissing | 2733 | distinct | 2
exact_99x3 | logical | nonmissing | 2733 | distinct | 2
near_99x2 | logical | nonmissing | 2733 | distinct | 2
sorted_component_vector | character | nonmissing | 2733 | distinct | 407
component_job_numbers | character | nonmissing | 2733 | distinct | 2733
component_bbls | character | nonmissing | 2733 | distinct | 2720
component_addresses | character | nonmissing | 2733 | distinct | 2723
component_filing_dates | character | nonmissing | 2733 | distinct | 1272
n_unique_component_bbls | integer | nonmissing | 2733 | distinct | 5 min/median/mean/max 1/1/1.049396/7
hpd_linked_components | integer | nonmissing | 2733 | distinct | 4 min/median/mean/max 0/0/0.05195756/4
hpd_response_numbers | character | nonmissing | 2733 | distinct | 133
hpd_registration_building_keys | character | nonmissing | 2733 | distinct | 133
hpd_linked_options | character | nonmissing | 2733 | distinct | 6
splitting_verification_status | character | nonmissing | 2733 | distinct | 4
splitting_verification_reason | character | nonmissing | 2733 | distinct | 4
response_category | character | nonmissing | 2733 | distinct | 7
exposure_status | character | nonmissing | 2733 | distinct | 4
included_ab | logical | nonmissing | 2733 | distinct | 2
included_ab_plus_d | logical | nonmissing | 2733 | distinct | 2
confidence | character | nonmissing | 2733 | distinct | 3
classification_reason | character | nonmissing | 2733 | distinct | 13
evidence_source | character | nonmissing | 2733 | distinct | 9
source_url | character | nonmissing | 284 | distinct | 153
government_owner | logical | nonmissing | 2733 | distinct | 2
nycha_owner | logical | nonmissing | 2733 | distinct | 2
hotel_project | logical | nonmissing | 2733 | distinct | 2
feature_units | integer | nonmissing | 2733 | distinct | 344 min/median/mean/max 6/27/70.38529/1754
feature_complete | logical | nonmissing | 2733 | distinct | 2
composition_eligible | logical | nonmissing | 2733 | distinct | 2
number_unique_lots | integer | nonmissing | 2712 | distinct | 4 min/median/mean/max 1/1/1.033923/4
multi_lot_indicator | integer | nonmissing | 2712 | distinct | 2 min/median/mean/max 0/0/0.02839233/1
lot_area_sqft | numeric | nonmissing | 2711 | distinct | 1534 min/median/mean/max 279/4387/33126.79/2747985
log_lot_area | numeric | nonmissing | 2711 | distinct | 1534 min/median/mean/max 5.631212/8.386401/8.669602/14.82638
residential_far | numeric | nonmissing | 2712 | distinct | 38 min/median/mean/max 0/3/3.337061/10
broad_zoning_far | numeric | nonmissing | 2712 | distinct | 28 min/median/mean/max 0/4.8/4.483576/15
built_far | numeric | nonmissing | 2712 | distinct | 410 min/median/mean/max 0/0.49/0.6807584/12.1
residential_capacity_sqft | numeric | nonmissing | 2711 | distinct | 1769 min/median/mean/max 0/11764.8/39897.92/2761126
built_floor_area_sqft | numeric | nonmissing | 2711 | distinct | 1531 min/median/mean/max 0/1923.75/10794.41/1489849
redevelopment_slack_sqft | numeric | nonmissing | 2711 | distinct | 2153 min/median/mean/max 0/9288/30057.41/1664863
zero_residential_capacity | integer | nonmissing | 2711 | distinct | 2 min/median/mean/max 0/0/0.04352637/1
zero_redevelopment_slack | integer | nonmissing | 2711 | distinct | 2 min/median/mean/max 0/0/0.05791221/1
borough | character | nonmissing | 2712 | distinct | 5
zoning_category | character | nonmissing | 2712 | distinct | 9
prior_site_use | character | nonmissing | 2712 | distinct | 9
