Rows: 7549
Columns: 64
Key fields: OBJECTID
Saved-file MD5: 55758c1060c9ae5f9b0ca5af60c24c5b
Rows missing a key field: 0
Repeated keys beyond the first row: 0
OBJECTID | integer | nonmissing | 7549 | distinct | 7549 min/median/mean/max 1/3785/3819.613/7680
ID | logical | nonmissing | 0 | distinct | 0
Borough | character | nonmissing | 7549 | distinct | 8
Borough_Block_Lot | numeric | nonmissing | 7549 | distinct | 6648 min/median/mean/max 1000010000/3033830000/3088824000/5080490000
Multiple_BBLs | character | nonmissing | 5854 | distinct | 5616
Date_Received | numeric | nonmissing | 7549 | distinct | 1716 min/median/mean/max 1.577941e+12/1.683778e+12/1.686062e+12/1.789488e+12
Expediter_Name | character | nonmissing | 5854 | distinct | 2136
Application_Type | character | nonmissing | 7549 | distinct | 8
Accepted | character | nonmissing | 4264 | distinct | 4
Accepted_Date | numeric | nonmissing | 6827 | distinct | 1644 min/median/mean/max 1.578373e+12/1.689048e+12/1.689333e+12/1.789402e+12
Rejected | character | nonmissing | 4264 | distinct | 4
Rejected_Date | numeric | nonmissing | 5499 | distinct | 1614 min/median/mean/max 1.578373e+12/1.686629e+12/1.687477e+12/1.789488e+12
Number_of_Rejections | integer | nonmissing | 5354 | distinct | 8 min/median/mean/max 0/1/1.504109/7
Resubmission | character | nonmissing | 4264 | distinct | 4
Resubmission_Date | numeric | nonmissing | 4634 | distinct | 1585 min/median/mean/max 1.578892e+12/1.689739e+12/1.689962e+12/1.789488e+12
On_Hold | character | nonmissing | 6223 | distinct | 2
On_Hold_Date | numeric | nonmissing | 133 | distinct | 116 min/median/mean/max 1.581397e+12/1.700086e+12/1.69674e+12/1.788451e+12
Completed | character | nonmissing | 4264 | distinct | 4
Completed_Date | numeric | nonmissing | 6697 | distinct | 1578 min/median/mean/max 1.578373e+12/1.691035e+12/1.691241e+12/1.789488e+12
Date_Reviewed | numeric | nonmissing | 7499 | distinct | 1657 min/median/mean/max 1.516252e+12/1.686542e+12/1.714919e+12/2.081665e+14
