Rows: 312
Columns: 15
Key fields: response_number
Saved-file MD5: b31248467594c2fb8e5ad832fddc962d
Rows missing a key field: 0
Repeated keys beyond the first row: 0
response_number | numeric | nonmissing | 312 | distinct | 312 min/median/mean/max 1/156.5/156.5/312
form_submission_timestamp | POSIXct/POSIXt | nonmissing | 312 | distinct | 287
registration_building_key | character | nonmissing | 312 | distinct | 297
is_latest_building_response | logical | nonmissing | 312 | distinct | 2
link_method | character | nonmissing | 312 | distinct | 6
matched_dob_root_job_id | character | nonmissing | 268 | distinct | 255
dob_now_root_job_id | character | nonmissing | 290 | distinct | 277
dob_bis_job_number | numeric | nonmissing | 21 | distinct | 19 min/median/mean/max 121192700/321593200/308352100/421677500
dob_bin | numeric | nonmissing | 312 | distinct | 297 min/median/mean/max 1026951/2821558/2832291/4625763
reported_property_address | character | nonmissing | 312 | distinct | 301
reported_borough_name | character | nonmissing | 312 | distinct | 4
reported_bbl | numeric | nonmissing | 312 | distinct | 299 min/median/mean/max 1002090000/2057350000/2650933000/4161880000
reported_units | numeric | nonmissing | 312 | distinct | 80 min/median/mean/max 3/23.5/38.67308/792
reported_affordability_option | character | nonmissing | 312 | distinct | 4
intended_separate_sub100_treatment | logical | nonmissing | 312 | distinct | 2
