Rows: 857536
Columns: 64
Key fields: bbl
Saved-file MD5: 053e32c6a28fa4bee32855e74639b052
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 857536 | distinct | 1
source_vintage | character | nonmissing | 857536 | distinct | 1
source_raw_path | character | nonmissing | 857536 | distinct | 1
bbl | character | nonmissing | 857536 | distinct | 857536
borough | character | nonmissing | 857536 | distinct | 5
block | character | nonmissing | 857536 | distinct | 13976
lot | character | nonmissing | 857536 | distinct | 2427
address | character | nonmissing | 857045 | distinct | 827873
cd | character | nonmissing | 857536 | distinct | 71
zipcode | character | nonmissing | 857536 | distinct | 213
ct2010 | character | nonmissing | 853568 | distinct | 1334
cb2010 | character | nonmissing | 837398 | distinct | 353
schooldist | character | nonmissing | 854833 | distinct | 32
council | character | nonmissing | 857536 | distinct | 52
zonedist1 | character | nonmissing | 857505 | distinct | 162
zonedist2 | character | nonmissing | 19845 | distinct | 147
zonedist3 | character | nonmissing | 196 | distinct | 61
zonedist4 | character | nonmissing | 13 | distinct | 12
overlay1 | character | nonmissing | 74832 | distinct | 10
overlay2 | character | nonmissing | 160 | distinct | 10
spdist1 | character | nonmissing | 101328 | distinct | 78
spdist2 | character | nonmissing | 72 | distinct | 19
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 3035 | distinct | 2
splitzone | character | nonmissing | 857505 | distinct | 2
zonemap | character | nonmissing | 857536 | distinct | 129
zmcode | character | nonmissing | 15804 | distinct | 1
lotarea | character | nonmissing | 857536 | distinct | 28658
unitsres | character | nonmissing | 857536 | distinct | 732
unitstotal | character | nonmissing | 857536 | distinct | 765
comarea | character | nonmissing | 857536 | distinct | 20304
yearbuilt | character | nonmissing | 857536 | distinct | 219
yearalter1 | character | nonmissing | 857536 | distinct | 116
yearalter2 | character | nonmissing | 857536 | distinct | 76
bldgarea | character | nonmissing | 857536 | distinct | 37056
resarea | character | nonmissing | 857536 | distinct | 27901
officearea | character | nonmissing | 857536 | distinct | 8719
retailarea | character | nonmissing | 857536 | distinct | 9298
garagearea | character | nonmissing | 857536 | distinct | 3859
strgearea | character | nonmissing | 857536 | distinct | 3657
factryarea | character | nonmissing | 857536 | distinct | 3147
otherarea | character | nonmissing | 857536 | distinct | 8090
areasource | character | nonmissing | 857536 | distinct | 5
numbldgs | character | nonmissing | 857536 | distinct | 141
numfloors | character | nonmissing | 857536 | distinct | 170
lotfront | character | nonmissing | 857536 | distinct | 14988
lotdepth | character | nonmissing | 857536 | distinct | 16045
bldgfront | character | nonmissing | 857536 | distinct | 5065
bldgdepth | character | nonmissing | 857536 | distinct | 5119
appdate | character | nonmissing | 89384 | distinct | 4997
assessland | character | nonmissing | 857536 | distinct | 59592
assesstot | character | nonmissing | 857536 | distinct | 87223
exempttot | character | nonmissing | 857536 | distinct | 42897
histdist | character | nonmissing | 29710 | distinct | 138
landmark | character | nonmissing | 1579 | distinct | 2
builtfar | character | nonmissing | 857536 | distinct | 2224
maxallwfar | character | nonmissing | 0 | distinct | 0
residfar | character | nonmissing | 857536 | distinct | 28
commfar | character | nonmissing | 857536 | distinct | 16
facilfar | character | nonmissing | 857536 | distinct | 20
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 854712 | distinct | 11
bldgclass | character | nonmissing | 857054 | distinct | 217
