Rows: 858914
Columns: 64
Key fields: bbl
Saved-file MD5: a0618fec86d20080d1c468874aa9ae76
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 858914 | distinct | 1
source_vintage | character | nonmissing | 858914 | distinct | 1
source_raw_path | character | nonmissing | 858914 | distinct | 1
bbl | character | nonmissing | 858914 | distinct | 858914
borough | character | nonmissing | 858914 | distinct | 5
block | character | nonmissing | 858914 | distinct | 13983
lot | character | nonmissing | 858914 | distinct | 2529
address | character | nonmissing | 858914 | distinct | 827039
cd | character | nonmissing | 858914 | distinct | 71
zipcode | character | nonmissing | 858914 | distinct | 195
ct2010 | character | nonmissing | 858914 | distinct | 1334
cb2010 | character | nonmissing | 858914 | distinct | 353
schooldist | character | nonmissing | 858914 | distinct | 33
council | character | nonmissing | 858914 | distinct | 52
zonedist1 | character | nonmissing | 858914 | distinct | 162
zonedist2 | character | nonmissing | 858914 | distinct | 140
zonedist3 | character | nonmissing | 858914 | distinct | 75
zonedist4 | character | nonmissing | 858914 | distinct | 16
overlay1 | character | nonmissing | 858914 | distinct | 11
overlay2 | character | nonmissing | 858914 | distinct | 11
spdist1 | character | nonmissing | 858914 | distinct | 66
spdist2 | character | nonmissing | 858914 | distinct | 11
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 858914 | distinct | 3
splitzone | character | nonmissing | 858914 | distinct | 3
zonemap | character | nonmissing | 858914 | distinct | 129
zmcode | character | nonmissing | 858914 | distinct | 2
lotarea | character | nonmissing | 858914 | distinct | 28510
unitsres | character | nonmissing | 858914 | distinct | 726
unitstotal | character | nonmissing | 858914 | distinct | 757
comarea | character | nonmissing | 858914 | distinct | 19848
yearbuilt | character | nonmissing | 858914 | distinct | 213
yearalter1 | character | nonmissing | 858914 | distinct | 114
yearalter2 | character | nonmissing | 858914 | distinct | 74
bldgarea | character | nonmissing | 858914 | distinct | 35419
resarea | character | nonmissing | 858914 | distinct | 27027
officearea | character | nonmissing | 858914 | distinct | 8420
retailarea | character | nonmissing | 858914 | distinct | 8702
garagearea | character | nonmissing | 858914 | distinct | 3703
strgearea | character | nonmissing | 858914 | distinct | 3900
factryarea | character | nonmissing | 858914 | distinct | 2966
otherarea | character | nonmissing | 858914 | distinct | 8067
areasource | character | nonmissing | 858914 | distinct | 6
numbldgs | character | nonmissing | 858914 | distinct | 138
numfloors | character | nonmissing | 858914 | distinct | 151
lotfront | character | nonmissing | 858914 | distinct | 14796
lotdepth | character | nonmissing | 858914 | distinct | 15879
bldgfront | character | nonmissing | 858914 | distinct | 4924
bldgdepth | character | nonmissing | 858914 | distinct | 4936
appdate | character | nonmissing | 858914 | distinct | 4305
assessland | character | nonmissing | 858914 | distinct | 61270
assesstot | character | nonmissing | 858914 | distinct | 76268
exempttot | character | nonmissing | 858914 | distinct | 45495
histdist | character | nonmissing | 858914 | distinct | 130
landmark | character | nonmissing | 858914 | distinct | 1147
builtfar | character | nonmissing | 858914 | distinct | 2177
maxallwfar | character | nonmissing | 0 | distinct | 0
residfar | character | nonmissing | 858914 | distinct | 28
commfar | character | nonmissing | 858914 | distinct | 16
facilfar | character | nonmissing | 858914 | distinct | 20
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 858914 | distinct | 12
bldgclass | character | nonmissing | 858914 | distinct | 216
