Rows: 857298
Columns: 64
Key fields: bbl
Saved-file MD5: 91a179436f208cf1da64350f4d7e793f
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 857298 | distinct | 1
source_vintage | character | nonmissing | 857298 | distinct | 1
source_raw_path | character | nonmissing | 857298 | distinct | 1
bbl | character | nonmissing | 857298 | distinct | 857298
borough | character | nonmissing | 857298 | distinct | 5
block | character | nonmissing | 857298 | distinct | 13976
lot | character | nonmissing | 857298 | distinct | 2421
address | character | nonmissing | 856231 | distinct | 827313
cd | character | nonmissing | 857298 | distinct | 72
zipcode | character | nonmissing | 857298 | distinct | 215
ct2010 | character | nonmissing | 856730 | distinct | 1335
cb2010 | character | nonmissing | 856730 | distinct | 367
schooldist | character | nonmissing | 856166 | distinct | 32
council | character | nonmissing | 857298 | distinct | 52
zonedist1 | character | nonmissing | 856596 | distinct | 163
zonedist2 | character | nonmissing | 19797 | distinct | 147
zonedist3 | character | nonmissing | 204 | distinct | 65
zonedist4 | character | nonmissing | 13 | distinct | 11
overlay1 | character | nonmissing | 74769 | distinct | 10
overlay2 | character | nonmissing | 166 | distinct | 10
spdist1 | character | nonmissing | 101640 | distinct | 81
spdist2 | character | nonmissing | 78 | distinct | 22
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 3036 | distinct | 2
splitzone | character | nonmissing | 856596 | distinct | 2
zonemap | character | nonmissing | 856689 | distinct | 125
zmcode | character | nonmissing | 15610 | distinct | 1
lotarea | character | nonmissing | 857298 | distinct | 29725
unitsres | character | nonmissing | 857298 | distinct | 747
unitstotal | character | nonmissing | 857298 | distinct | 773
comarea | character | nonmissing | 857298 | distinct | 20439
yearbuilt | character | nonmissing | 857298 | distinct | 239
yearalter1 | character | nonmissing | 857298 | distinct | 114
yearalter2 | character | nonmissing | 857298 | distinct | 70
bldgarea | character | nonmissing | 857298 | distinct | 37470
resarea | character | nonmissing | 857298 | distinct | 28276
officearea | character | nonmissing | 857298 | distinct | 8881
retailarea | character | nonmissing | 857298 | distinct | 9391
garagearea | character | nonmissing | 857298 | distinct | 3901
strgearea | character | nonmissing | 857298 | distinct | 3471
factryarea | character | nonmissing | 857298 | distinct | 3128
otherarea | character | nonmissing | 857298 | distinct | 8128
areasource | character | nonmissing | 856925 | distinct | 5
numbldgs | character | nonmissing | 857298 | distinct | 123
numfloors | character | nonmissing | 857298 | distinct | 177
lotfront | character | nonmissing | 857298 | distinct | 15004
lotdepth | character | nonmissing | 857298 | distinct | 16140
bldgfront | character | nonmissing | 857298 | distinct | 5149
bldgdepth | character | nonmissing | 857298 | distinct | 5207
appdate | character | nonmissing | 91955 | distinct | 5234
assessland | character | nonmissing | 857298 | distinct | 14318
assesstot | character | nonmissing | 857298 | distinct | 36940
exempttot | character | nonmissing | 857298 | distinct | 40523
histdist | character | nonmissing | 30887 | distinct | 149
landmark | character | nonmissing | 1440 | distinct | 3
builtfar | character | nonmissing | 857298 | distinct | 2233
maxallwfar | character | nonmissing | 0 | distinct | 0
residfar | character | nonmissing | 857298 | distinct | 20
commfar | character | nonmissing | 857298 | distinct | 16
facilfar | character | nonmissing | 857298 | distinct | 18
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 854565 | distinct | 11
bldgclass | character | nonmissing | 856925 | distinct | 215
