Rows: 857220
Columns: 64
Key fields: bbl
Saved-file MD5: 3c943a2aeb841d11498b293a7f51f1be
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 857220 | distinct | 1
source_vintage | character | nonmissing | 857220 | distinct | 1
source_raw_path | character | nonmissing | 857220 | distinct | 1
bbl | character | nonmissing | 857220 | distinct | 857220
borough | character | nonmissing | 857220 | distinct | 5
block | integer | nonmissing | 857220 | distinct | 13976 min/median/mean/max 0/4821/5311.563/16350
lot | integer | nonmissing | 857220 | distinct | 2421 min/median/mean/max 1/39/134.77/9102
address | character | nonmissing | 856536 | distinct | 827638
cd | integer | nonmissing | 857220 | distinct | 72 min/median/mean/max 0/402/354.726/595
zipcode | character | nonmissing | 857220 | distinct | 215
ct2010 | character | nonmissing | 856637 | distinct | 1333
cb2010 | character | nonmissing | 857196 | distinct | 367
schooldist | integer | nonmissing | 856650 | distinct | 32 min/median/mean/max 1/24/22.05903/32
council | integer | nonmissing | 857220 | distinct | 52 min/median/mean/max 0/32/32.12061/51
zonedist1 | character | nonmissing | 857205 | distinct | 164
zonedist2 | character | nonmissing | 19858 | distinct | 147
zonedist3 | character | nonmissing | 214 | distinct | 67
zonedist4 | character | nonmissing | 13 | distinct | 11
overlay1 | character | nonmissing | 74766 | distinct | 10
overlay2 | character | nonmissing | 168 | distinct | 10
spdist1 | character | nonmissing | 101786 | distinct | 81
spdist2 | character | nonmissing | 77 | distinct | 21
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 3035 | distinct | 2
splitzone | character | nonmissing | 857205 | distinct | 2
zonemap | character | nonmissing | 857220 | distinct | 125
zmcode | character | nonmissing | 15625 | distinct | 1
lotarea | numeric | nonmissing | 857220 | distinct | 29775 min/median/mean/max 0/2521/8580.162/214755700
unitsres | numeric | nonmissing | 857220 | distinct | 740 min/median/mean/max 0/2/4.192602/10914
unitstotal | numeric | nonmissing | 857220 | distinct | 768 min/median/mean/max 0/2/4.621815/17369
comarea | numeric | nonmissing | 857220 | distinct | 20084 min/median/mean/max 0/0/2066.24/2.4e+07
yearbuilt | integer | nonmissing | 815868 | distinct | 219 min/median/mean/max 1800/1931/1940.871/2020
yearalter1 | integer | nonmissing | 93276 | distinct | 113 min/median/mean/max 1900/2004/2001.058/2020
yearalter2 | integer | nonmissing | 14802 | distinct | 70 min/median/mean/max 1931/2008/2007.179/2020
bldgarea | numeric | nonmissing | 857220 | distinct | 37782 min/median/mean/max 0/2000/6882.346/85898160
resarea | numeric | nonmissing | 857220 | distinct | 28133 min/median/mean/max 0/1652/4017.163/13211400
officearea | numeric | nonmissing | 857220 | distinct | 8721 min/median/mean/max 0/0/757.7817/3583167
retailarea | numeric | nonmissing | 857220 | distinct | 9275 min/median/mean/max 0/0/320.2156/2192088
garagearea | numeric | nonmissing | 857220 | distinct | 3903 min/median/mean/max 0/0/140.3051/2677430
strgearea | numeric | nonmissing | 857220 | distinct | 3589 min/median/mean/max 0/0/112.9823/1757298
factryarea | numeric | nonmissing | 857220 | distinct | 2749 min/median/mean/max 0/0/117.9815/1324592
otherarea | numeric | nonmissing | 857220 | distinct | 8166 min/median/mean/max 0/0/611.0159/2.4e+07
areasource | character | nonmissing | 856608 | distinct | 5
numbldgs | integer | nonmissing | 857220 | distinct | 139 min/median/mean/max 0/1/1.271432/1715
numfloors | numeric | nonmissing | 857220 | distinct | 179 min/median/mean/max 0/2/2.336019/104
lotfront | numeric | nonmissing | 857220 | distinct | 15045 min/median/mean/max 0/25/39.97871/9999
lotdepth | numeric | nonmissing | 857220 | distinct | 16163 min/median/mean/max 0/100/103.916/9999
bldgfront | numeric | nonmissing | 857220 | distinct | 5210 min/median/mean/max 0/20/25.81312/9021.3
bldgdepth | numeric | nonmissing | 857220 | distinct | 5265 min/median/mean/max 0/43/46.26543/9388
appdate | Date | nonmissing | 92948 | distinct | 5391
assessland | numeric | nonmissing | 857220 | distinct | 14773 min/median/mean/max 0/14220/125629.6/3211276000
assesstot | numeric | nonmissing | 857220 | distinct | 33686 min/median/mean/max 0/52260/541460.5/7240287000
exempttot | numeric | nonmissing | 857220 | distinct | 36735 min/median/mean/max 0/0/182454.4/7240287000
histdist | character | nonmissing | 30862 | distinct | 149
landmark | character | nonmissing | 0 | distinct | 0
builtfar | numeric | nonmissing | 857220 | distinct | 2261 min/median/mean/max 0/0.74/1.099852/2483.5
maxallwfar | numeric | nonmissing | 0 | distinct | 0
residfar | numeric | nonmissing | 857220 | distinct | 20 min/median/mean/max 0/0.75/1.315756/10
commfar | numeric | nonmissing | 857220 | distinct | 16 min/median/mean/max 0/0/0.2014579/15
facilfar | numeric | nonmissing | 857220 | distinct | 18 min/median/mean/max 0/2/2.227088/15
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 854307 | distinct | 11
bldgclass | character | nonmissing | 856610 | distinct | 211
