Rows: 857229
Columns: 64
Key fields: bbl
Saved-file MD5: 2491e20d2f22d9e8fac0d18f92a087db
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 857229 | distinct | 1
source_vintage | character | nonmissing | 857229 | distinct | 1
source_raw_path | character | nonmissing | 857229 | distinct | 1
bbl | character | nonmissing | 857229 | distinct | 857229
borough | character | nonmissing | 857229 | distinct | 5
block | integer | nonmissing | 857229 | distinct | 13958 min/median/mean/max 0/4822/5311.887/16350
lot | integer | nonmissing | 857229 | distinct | 2421 min/median/mean/max 1/39/140.3804/9102
address | character | nonmissing | 856732 | distinct | 827846
cd | integer | nonmissing | 857229 | distinct | 72 min/median/mean/max 0/402/354.5617/595
zipcode | character | nonmissing | 857229 | distinct | 215
ct2010 | character | nonmissing | 856653 | distinct | 1333
cb2010 | character | nonmissing | 835068 | distinct | 349
schooldist | integer | nonmissing | 856660 | distinct | 32 min/median/mean/max 1/24/22.06259/32
council | integer | nonmissing | 857229 | distinct | 52 min/median/mean/max 0/32/32.10721/51
zonedist1 | character | nonmissing | 857216 | distinct | 166
zonedist2 | character | nonmissing | 19818 | distinct | 148
zonedist3 | character | nonmissing | 213 | distinct | 67
zonedist4 | character | nonmissing | 13 | distinct | 11
overlay1 | character | nonmissing | 74760 | distinct | 10
overlay2 | character | nonmissing | 168 | distinct | 10
spdist1 | character | nonmissing | 103653 | distinct | 90
spdist2 | character | nonmissing | 61 | distinct | 24
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 3032 | distinct | 2
splitzone | character | nonmissing | 857216 | distinct | 2
zonemap | character | nonmissing | 857225 | distinct | 124
zmcode | character | nonmissing | 15624 | distinct | 1
lotarea | numeric | nonmissing | 857229 | distinct | 29830 min/median/mean/max 0/2521/8072.365/214378400
unitsres | numeric | nonmissing | 857229 | distinct | 743 min/median/mean/max 0/2/4.224166/19201
unitstotal | numeric | nonmissing | 857229 | distinct | 780 min/median/mean/max 0/2/4.657013/19203
comarea | numeric | nonmissing | 857229 | distinct | 20432 min/median/mean/max 0/0/2072.414/2.4e+07
yearbuilt | integer | nonmissing | 816109 | distinct | 220 min/median/mean/max 1800/1931/1940.964/2021
yearalter1 | integer | nonmissing | 95776 | distinct | 114 min/median/mean/max 1900/2005/2001.582/2021
yearalter2 | integer | nonmissing | 15230 | distinct | 72 min/median/mean/max 1930/2008/2007.566/2021
bldgarea | numeric | nonmissing | 857229 | distinct | 38022 min/median/mean/max 0/2004/6494.021/2.4e+07
resarea | numeric | nonmissing | 857229 | distinct | 28666 min/median/mean/max 0/1657/4061.095/13211400
officearea | numeric | nonmissing | 857229 | distinct | 8982 min/median/mean/max 0/0/771.3532/3583167
retailarea | numeric | nonmissing | 857229 | distinct | 9560 min/median/mean/max 0/0/326.3795/2192088
garagearea | numeric | nonmissing | 857229 | distinct | 4010 min/median/mean/max 0/0/142.8387/2677430
strgearea | numeric | nonmissing | 857229 | distinct | 3417 min/median/mean/max 0/0/100.8337/1757298
factryarea | numeric | nonmissing | 857229 | distinct | 2684 min/median/mean/max 0/0/110.6926/1324592
otherarea | numeric | nonmissing | 857229 | distinct | 8287 min/median/mean/max 0/0/613.8514/2.4e+07
areasource | character | nonmissing | 856803 | distinct | 5
numbldgs | integer | nonmissing | 857229 | distinct | 139 min/median/mean/max 0/1/1.271174/1807
numfloors | numeric | nonmissing | 857229 | distinct | 185 min/median/mean/max 0/2/2.340987/104
lotfront | numeric | nonmissing | 857229 | distinct | 15134 min/median/mean/max 0/25/40.03585/9999
lotdepth | numeric | nonmissing | 857229 | distinct | 16201 min/median/mean/max 0/100/104.0025/9999
bldgfront | numeric | nonmissing | 857229 | distinct | 5286 min/median/mean/max 0/20/25.88362/8050
bldgdepth | numeric | nonmissing | 857229 | distinct | 5329 min/median/mean/max 0/43/46.37222/9388
appdate | Date | nonmissing | 93614 | distinct | 5520
assessland | numeric | nonmissing | 857229 | distinct | 15513 min/median/mean/max 0/14220/124305.9/3205634000
assesstot | numeric | nonmissing | 857229 | distinct | 33848 min/median/mean/max 0/53100/480532.2/7329049000
exempttot | numeric | nonmissing | 857229 | distinct | 36156 min/median/mean/max 0/0/161615.5/7329049000
histdist | character | nonmissing | 31201 | distinct | 153
landmark | character | nonmissing | 1441 | distinct | 3
builtfar | numeric | nonmissing | 857229 | distinct | 2245 min/median/mean/max 0/0.74/1.084814/403.79
maxallwfar | numeric | nonmissing | 0 | distinct | 0
residfar | numeric | nonmissing | 857229 | distinct | 20 min/median/mean/max 0/0.75/1.315248/10
commfar | numeric | nonmissing | 857229 | distinct | 16 min/median/mean/max 0/0/0.2012466/15
facilfar | numeric | nonmissing | 857229 | distinct | 18 min/median/mean/max 0/2/2.226804/15
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 854401 | distinct | 11
bldgclass | character | nonmissing | 856805 | distinct | 211
