Rows: 856819
Columns: 64
Key fields: bbl
Saved-file MD5: 5d59545ad22c7adea2214338eda59627
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 856819 | distinct | 1
source_vintage | character | nonmissing | 856819 | distinct | 1
source_raw_path | character | nonmissing | 856819 | distinct | 1
bbl | character | nonmissing | 856819 | distinct | 856819
borough | character | nonmissing | 856819 | distinct | 5
block | character | nonmissing | 856819 | distinct | 13947
lot | character | nonmissing | 856819 | distinct | 2419
address | character | nonmissing | 856400 | distinct | 827751
cd | character | nonmissing | 856819 | distinct | 71
zipcode | character | nonmissing | 856819 | distinct | 216
ct2010 | character | nonmissing | 856796 | distinct | 1334
cb2010 | character | nonmissing | 856796 | distinct | 366
schooldist | character | nonmissing | 856233 | distinct | 32
council | character | nonmissing | 856819 | distinct | 52
zonedist1 | character | nonmissing | 856806 | distinct | 170
zonedist2 | character | nonmissing | 19725 | distinct | 154
zonedist3 | character | nonmissing | 214 | distinct | 71
zonedist4 | character | nonmissing | 13 | distinct | 11
overlay1 | character | nonmissing | 74429 | distinct | 10
overlay2 | character | nonmissing | 176 | distinct | 10
spdist1 | character | nonmissing | 105431 | distinct | 92
spdist2 | character | nonmissing | 299 | distinct | 17
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 3047 | distinct | 2
splitzone | character | nonmissing | 856806 | distinct | 2
zonemap | character | nonmissing | 856815 | distinct | 124
zmcode | character | nonmissing | 15618 | distinct | 1
lotarea | character | nonmissing | 856819 | distinct | 29974
unitsres | character | nonmissing | 856819 | distinct | 749
unitstotal | character | nonmissing | 856819 | distinct | 793
comarea | character | nonmissing | 856819 | distinct | 20958
yearbuilt | character | nonmissing | 856819 | distinct | 252
yearalter1 | character | nonmissing | 856819 | distinct | 122
yearalter2 | character | nonmissing | 856819 | distinct | 75
bldgarea | character | nonmissing | 856819 | distinct | 38752
resarea | character | nonmissing | 856819 | distinct | 29314
officearea | character | nonmissing | 856819 | distinct | 9058
retailarea | character | nonmissing | 856819 | distinct | 9789
garagearea | character | nonmissing | 856819 | distinct | 4162
strgearea | character | nonmissing | 856819 | distinct | 3404
factryarea | character | nonmissing | 856819 | distinct | 3030
otherarea | character | nonmissing | 856819 | distinct | 8402
areasource | character | nonmissing | 856471 | distinct | 5
numbldgs | character | nonmissing | 856819 | distinct | 138
numfloors | character | nonmissing | 856819 | distinct | 176
lotfront | character | nonmissing | 856819 | distinct | 15251
lotdepth | character | nonmissing | 856819 | distinct | 16269
bldgfront | character | nonmissing | 856819 | distinct | 5385
bldgdepth | character | nonmissing | 856819 | distinct | 5370
appdate | character | nonmissing | 95442 | distinct | 5824
assessland | character | nonmissing | 856819 | distinct | 15650
assesstot | character | nonmissing | 856819 | distinct | 34469
exempttot | character | nonmissing | 856819 | distinct | 35209
histdist | character | nonmissing | 32490 | distinct | 156
landmark | character | nonmissing | 1448 | distinct | 3
builtfar | character | nonmissing | 856819 | distinct | 2249
maxallwfar | character | nonmissing | 0 | distinct | 0
residfar | character | nonmissing | 856819 | distinct | 20
commfar | character | nonmissing | 856819 | distinct | 16
facilfar | character | nonmissing | 856819 | distinct | 18
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 854201 | distinct | 11
bldgclass | character | nonmissing | 856472 | distinct | 211
