Rows: 860536
Columns: 64
Key fields: bbl
Saved-file MD5: 6037d2b23fefc45335bfeb1fa91ba4e1
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 860536 | distinct | 1
source_vintage | character | nonmissing | 860536 | distinct | 1
source_raw_path | character | nonmissing | 860536 | distinct | 1
bbl | character | nonmissing | 860536 | distinct | 860536
borough | character | nonmissing | 860536 | distinct | 5
block | integer | nonmissing | 860536 | distinct | 13984 min/median/mean/max 0/4798/5298.32/16350
lot | integer | nonmissing | 860536 | distinct | 2522 min/median/mean/max 0/38/121.6334/9978
address | character | nonmissing | 859136 | distinct | 825365
cd | integer | nonmissing | 860536 | distinct | 71 min/median/mean/max 101/401/353.9478/595
zipcode | character | nonmissing | 854819 | distinct | 190
ct2010 | character | nonmissing | 0 | distinct | 0
cb2010 | character | nonmissing | 0 | distinct | 0
schooldist | integer | nonmissing | 856336 | distinct | 32 min/median/mean/max 1/24/21.98243/32
council | integer | nonmissing | 856259 | distinct | 51 min/median/mean/max 1/32/32.02556/51
zonedist1 | character | nonmissing | 859245 | distinct | 157
zonedist2 | character | nonmissing | 23022 | distinct | 136
zonedist3 | character | nonmissing | 288 | distinct | 74
zonedist4 | character | nonmissing | 16 | distinct | 14
overlay1 | character | nonmissing | 78833 | distinct | 10
overlay2 | character | nonmissing | 239 | distinct | 10
spdist1 | character | nonmissing | 94615 | distinct | 58
spdist2 | character | nonmissing | 38 | distinct | 7
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 3057 | distinct | 2
splitzone | character | nonmissing | 859163 | distinct | 2
zonemap | character | nonmissing | 857196 | distinct | 128
zmcode | character | nonmissing | 7942 | distinct | 1
lotarea | numeric | nonmissing | 860536 | distinct | 27980 min/median/mean/max 0/2510/7775.402/207391200
unitsres | numeric | nonmissing | 860536 | distinct | 692 min/median/mean/max 0/2/3.881355/20811
unitstotal | numeric | nonmissing | 860536 | distinct | 733 min/median/mean/max 0/2/4.358258/44276
comarea | numeric | nonmissing | 860536 | distinct | 19699 min/median/mean/max 0/0/2224.225/27600000
yearbuilt | integer | nonmissing | 812575 | distinct | 193 min/median/mean/max 1800/1931/1939.819/2010
yearalter1 | integer | nonmissing | 70935 | distinct | 109 min/median/mean/max 1884/1998/1994.995/2010
yearalter2 | integer | nonmissing | 9000 | distinct | 70 min/median/mean/max 1900/2004/2001.849/2010
bldgarea | numeric | nonmissing | 860536 | distinct | 34902 min/median/mean/max 0/2080/6307.097/27600000
resarea | numeric | nonmissing | 860536 | distinct | 26383 min/median/mean/max 0/1890/4084.993/13211400
officearea | numeric | nonmissing | 860536 | distinct | 7928 min/median/mean/max 0/0/757.7554/5009319
retailarea | numeric | nonmissing | 860536 | distinct | 8168 min/median/mean/max 0/0/296.1575/2092088
garagearea | numeric | nonmissing | 860536 | distinct | 3516 min/median/mean/max 0/0/126.6651/1500000
strgearea | numeric | nonmissing | 860536 | distinct | 4507 min/median/mean/max 0/0/184.1196/1835150
factryarea | numeric | nonmissing | 860536 | distinct | 2692 min/median/mean/max 0/0/115.2673/889000
otherarea | numeric | nonmissing | 860536 | distinct | 8295 min/median/mean/max 0/0/731.6966/27600000
areasource | character | nonmissing | 860536 | distinct | 6
numbldgs | integer | nonmissing | 860536 | distinct | 119 min/median/mean/max 0/1/1.154914/2740
numfloors | numeric | nonmissing | 860536 | distinct | 142 min/median/mean/max 0/2/2.284661/119
lotfront | numeric | nonmissing | 860536 | distinct | 14425 min/median/mean/max 0/25/39.91126/9999
lotdepth | numeric | nonmissing | 860536 | distinct | 15595 min/median/mean/max 0/100/103.9653/9999
bldgfront | numeric | nonmissing | 860536 | distinct | 4728 min/median/mean/max 0/20/25.38883/7538
bldgdepth | numeric | nonmissing | 860536 | distinct | 4697 min/median/mean/max 0/42/45.58842/9388
appdate | Date | nonmissing | 77648 | distinct | 3570
assessland | numeric | nonmissing | 860536 | distinct | 62326 min/median/mean/max 0/14372/105941.8/2668500000
assesstot | numeric | nonmissing | 860536 | distinct | 67306 min/median/mean/max 0/24556/282913.3/4668309000
exempttot | numeric | nonmissing | 860536 | distinct | 41894 min/median/mean/max 0/1620/113599.9/4668309000
histdist | character | nonmissing | 23202 | distinct | 114
landmark | character | nonmissing | 1231 | distinct | 1070
builtfar | numeric | nonmissing | 860536 | distinct | 2241 min/median/mean/max 0/0.77/1.133631/8695
maxallwfar | numeric | nonmissing | 860536 | distinct | 31 min/median/mean/max 0/0.9/1.449891/15
residfar | numeric | nonmissing | 0 | distinct | 0
commfar | numeric | nonmissing | 0 | distinct | 0
facilfar | numeric | nonmissing | 0 | distinct | 0
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 856507 | distinct | 11
bldgclass | character | nonmissing | 859163 | distinct | 199
