Rows: 859372
Columns: 64
Key fields: bbl
Saved-file MD5: b8baff25e747db420e2954500d78cb14
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 859372 | distinct | 1
source_vintage | character | nonmissing | 859372 | distinct | 1
source_raw_path | character | nonmissing | 859372 | distinct | 1
bbl | character | nonmissing | 859372 | distinct | 859372
borough | character | nonmissing | 859372 | distinct | 5
block | integer | nonmissing | 859372 | distinct | 13983 min/median/mean/max 0/4804/5303.478/16350
lot | integer | nonmissing | 859372 | distinct | 2536 min/median/mean/max 0/38/127.5032/9978
address | character | nonmissing | 858356 | distinct | 826333
cd | integer | nonmissing | 859372 | distinct | 71 min/median/mean/max 101/401/354.1183/595
zipcode | character | nonmissing | 854163 | distinct | 195
ct2010 | character | nonmissing | 854127 | distinct | 1333
cb2010 | character | nonmissing | 835993 | distinct | 351
schooldist | integer | nonmissing | 855654 | distinct | 32 min/median/mean/max 1/24/21.99746/32
council | integer | nonmissing | 855489 | distinct | 51 min/median/mean/max 1/32/32.03668/51
zonedist1 | character | nonmissing | 858448 | distinct | 161
zonedist2 | character | nonmissing | 24912 | distinct | 139
zonedist3 | character | nonmissing | 327 | distinct | 74
zonedist4 | character | nonmissing | 18 | distinct | 15
overlay1 | character | nonmissing | 78293 | distinct | 10
overlay2 | character | nonmissing | 227 | distinct | 10
spdist1 | character | nonmissing | 95650 | distinct | 65
spdist2 | character | nonmissing | 54 | distinct | 10
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 3062 | distinct | 2
splitzone | character | nonmissing | 858386 | distinct | 2
zonemap | character | nonmissing | 859070 | distinct | 126
zmcode | character | nonmissing | 15648 | distinct | 1
lotarea | numeric | nonmissing | 859372 | distinct | 28381 min/median/mean/max 0/2516/7864.114/214755700
unitsres | numeric | nonmissing | 859372 | distinct | 721 min/median/mean/max 0/2/4.033242/13480
unitstotal | numeric | nonmissing | 859372 | distinct | 747 min/median/mean/max 0/2/4.409456/13495
comarea | numeric | nonmissing | 859372 | distinct | 20168 min/median/mean/max 0/0/2239.725/27600000
yearbuilt | integer | nonmissing | 813868 | distinct | 199 min/median/mean/max 1800/1931/1940.182/2013
yearalter1 | integer | nonmissing | 76706 | distinct | 112 min/median/mean/max 1884/2000/1996.262/2013
yearalter2 | integer | nonmissing | 10955 | distinct | 72 min/median/mean/max 1900/2005/2003.298/2013
bldgarea | numeric | nonmissing | 859372 | distinct | 35537 min/median/mean/max 0/2090/6339.081/27600000
resarea | numeric | nonmissing | 859372 | distinct | 26762 min/median/mean/max 0/1900/4092.7/13211400
officearea | numeric | nonmissing | 859372 | distinct | 8300 min/median/mean/max 0/0/760.6435/5009319
retailarea | numeric | nonmissing | 859372 | distinct | 8534 min/median/mean/max 0/0/305.4239/2092088
garagearea | numeric | nonmissing | 859372 | distinct | 3665 min/median/mean/max 0/0/138.3119/2677430
strgearea | numeric | nonmissing | 859372 | distinct | 4001 min/median/mean/max 0/0/143.2786/1757298
factryarea | numeric | nonmissing | 859372 | distinct | 2937 min/median/mean/max 0/0/128.5328/1324592
otherarea | numeric | nonmissing | 859372 | distinct | 8647 min/median/mean/max 0/0/737.2165/27600000
areasource | character | nonmissing | 859372 | distinct | 6
numbldgs | integer | nonmissing | 859372 | distinct | 137 min/median/mean/max 0/1/1.240979/2740
numfloors | numeric | nonmissing | 859372 | distinct | 152 min/median/mean/max 0/2/2.293602/119
lotfront | numeric | nonmissing | 859372 | distinct | 14699 min/median/mean/max 0/25/39.98441/9999
lotdepth | numeric | nonmissing | 859372 | distinct | 15771 min/median/mean/max 0/100/104.0217/9999
bldgfront | numeric | nonmissing | 859372 | distinct | 4883 min/median/mean/max 0/20/25.48586/8050
bldgdepth | numeric | nonmissing | 859372 | distinct | 4876 min/median/mean/max 0/42/45.84432/9388
appdate | Date | nonmissing | 82219 | distinct | 4096
assessland | numeric | nonmissing | 859372 | distinct | 65471 min/median/mean/max 0/12529/108322.3/2855118000
assesstot | numeric | nonmissing | 859372 | distinct | 86873 min/median/mean/max 0/26265/331896.7/5.535e+09
exempttot | numeric | nonmissing | 859372 | distinct | 46136 min/median/mean/max 0/1600/127973.9/5.535e+09
histdist | character | nonmissing | 26543 | distinct | 126
landmark | character | nonmissing | 1302 | distinct | 1140
builtfar | numeric | nonmissing | 859372 | distinct | 2228 min/median/mean/max 0/0.78/1.124915/5801
maxallwfar | numeric | nonmissing | 0 | distinct | 0
residfar | numeric | nonmissing | 859372 | distinct | 28 min/median/mean/max 0/0.9/1.366332/12
commfar | numeric | nonmissing | 859372 | distinct | 16 min/median/mean/max 0/0/0.2107459/15
facilfar | numeric | nonmissing | 859372 | distinct | 20 min/median/mean/max 0/2/2.234961/15
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 855802 | distinct | 11
bldgclass | character | nonmissing | 858386 | distinct | 210
