Rows: 859205
Columns: 64
Key fields: bbl
Saved-file MD5: 462248207584311debe964402d9a93b6
Rows missing a key field: 0
Repeated keys beyond the first row: 0
source_id | character | nonmissing | 859205 | distinct | 1
source_vintage | character | nonmissing | 859205 | distinct | 1
source_raw_path | character | nonmissing | 859205 | distinct | 1
bbl | character | nonmissing | 859205 | distinct | 859205
borough | character | nonmissing | 859205 | distinct | 5
block | integer | nonmissing | 859205 | distinct | 13981 min/median/mean/max 0/4804/5304.933/16350
lot | integer | nonmissing | 859205 | distinct | 2536 min/median/mean/max 0/38/126.8347/9978
address | character | nonmissing | 858649 | distinct | 827568
cd | integer | nonmissing | 859205 | distinct | 71 min/median/mean/max 101/401/354.2551/595
zipcode | character | nonmissing | 854825 | distinct | 196
ct2010 | character | nonmissing | 854914 | distinct | 1335
cb2010 | character | nonmissing | 837821 | distinct | 352
schooldist | integer | nonmissing | 856111 | distinct | 32 min/median/mean/max 1/24/22.00603/32
council | integer | nonmissing | 856038 | distinct | 51 min/median/mean/max 1/32/32.05353/51
zonedist1 | character | nonmissing | 858729 | distinct | 161
zonedist2 | character | nonmissing | 25571 | distinct | 139
zonedist3 | character | nonmissing | 333 | distinct | 75
zonedist4 | character | nonmissing | 19 | distinct | 16
overlay1 | character | nonmissing | 78045 | distinct | 10
overlay2 | character | nonmissing | 225 | distinct | 10
spdist1 | character | nonmissing | 95650 | distinct | 65
spdist2 | character | nonmissing | 52 | distinct | 10
spdist3 | character | nonmissing | 0 | distinct | 0
ltdheight | character | nonmissing | 3070 | distinct | 2
splitzone | character | nonmissing | 858686 | distinct | 2
zonemap | character | nonmissing | 858837 | distinct | 127
zmcode | character | nonmissing | 15640 | distinct | 1
lotarea | numeric | nonmissing | 859205 | distinct | 28695 min/median/mean/max 0/2517/7876.288/214755700
unitsres | numeric | nonmissing | 859205 | distinct | 729 min/median/mean/max 0/2/4.110628/13248
unitstotal | numeric | nonmissing | 859205 | distinct | 759 min/median/mean/max 0/2/4.482481/13248
comarea | numeric | nonmissing | 859205 | distinct | 20074 min/median/mean/max 0/0/2114.73/2.4e+07
yearbuilt | integer | nonmissing | 815806 | distinct | 204 min/median/mean/max 1800/1931/1940.773/2040
yearalter1 | integer | nonmissing | 83589 | distinct | 114 min/median/mean/max 1894/2001/1997.881/2016
yearalter2 | integer | nonmissing | 12950 | distinct | 75 min/median/mean/max 1912/2007/2004.928/2017
bldgarea | numeric | nonmissing | 859205 | distinct | 36515 min/median/mean/max 0/1994/6375.135/49547830
resarea | numeric | nonmissing | 859205 | distinct | 27424 min/median/mean/max 0/1760/4060.134/13211400
officearea | numeric | nonmissing | 859205 | distinct | 8525 min/median/mean/max 0/0/754.6949/3583167
retailarea | numeric | nonmissing | 859205 | distinct | 9039 min/median/mean/max 0/0/318.9153/2644824
garagearea | numeric | nonmissing | 859205 | distinct | 3801 min/median/mean/max 0/0/141.9218/2677430
strgearea | numeric | nonmissing | 859205 | distinct | 3802 min/median/mean/max 0/0/128.2544/1757298
factryarea | numeric | nonmissing | 859205 | distinct | 3003 min/median/mean/max 0/0/131.6142/1324592
otherarea | numeric | nonmissing | 859205 | distinct | 8085 min/median/mean/max 0/0/614.9297/2.4e+07
areasource | character | nonmissing | 859205 | distinct | 5
numbldgs | integer | nonmissing | 859205 | distinct | 138 min/median/mean/max 0/1/1.268882/2740
numfloors | numeric | nonmissing | 859205 | distinct | 162 min/median/mean/max 0/2/2.313824/119
lotfront | numeric | nonmissing | 859205 | distinct | 14898 min/median/mean/max 0/25/40.04955/9999
lotdepth | numeric | nonmissing | 859205 | distinct | 15940 min/median/mean/max 0/100/104.0655/9999
bldgfront | numeric | nonmissing | 859205 | distinct | 5017 min/median/mean/max 0/20/25.67784/8050
bldgdepth | numeric | nonmissing | 859205 | distinct | 5085 min/median/mean/max 0/42/46.05138/9388
appdate | Date | nonmissing | 86743 | distinct | 4571
assessland | numeric | nonmissing | 859205 | distinct | 60893 min/median/mean/max 0/10440/112951.5/3211276000
assesstot | numeric | nonmissing | 859205 | distinct | 82058 min/median/mean/max 0/29030/408590.2/6798347000
exempttot | numeric | nonmissing | 859205 | distinct | 46934 min/median/mean/max 0/1005/151502.4/6798347000
histdist | character | nonmissing | 29291 | distinct | 137
landmark | character | nonmissing | 1334 | distinct | 1243
builtfar | numeric | nonmissing | 859205 | distinct | 2248 min/median/mean/max 0/0.73/1.086393/5801
maxallwfar | numeric | nonmissing | 0 | distinct | 0
residfar | numeric | nonmissing | 859205 | distinct | 28 min/median/mean/max 0/0.9/1.366742/12
commfar | numeric | nonmissing | 859205 | distinct | 16 min/median/mean/max 0/0/0.2086996/15
facilfar | numeric | nonmissing | 859205 | distinct | 20 min/median/mean/max 0/2/2.233729/15
firm07_flag | character | nonmissing | 0 | distinct | 0
pfirm15_flag | character | nonmissing | 0 | distinct | 0
landuse | character | nonmissing | 856080 | distinct | 11
bldgclass | character | nonmissing | 858688 | distinct | 218
